,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
6261,détrompez-vous,2007-10-24,"Comédie, Romance",1h 28min,Bruno Dega,"Jeanne Le Guillou, Bruno Dega, Jeanne Le Guillou","François Cluzet, Mathilde Seigner, Roschdy Zem",France,Wild Bunch Distribution,Box Office France,138309,"2,1","2,2",241245.0,0
6262,"jean de la fontaine, le défi",2007-04-18,"Drame, Historique",1h 40min,Daniel Vigne,Jacques Forgeas,"Lorànt Deutsch, Philippe Torreton, Sara Forestier",France,Rezo Films,Box Office France,83188,"2,1","1,5",96072.0,0
6263,inteurodeoksyeon,2022-02-02,Drame,1h 06min,Hong Sang-Soo,Hong Sang-Soo,"Shin Seokho, Mi-so Park, Kim Young-Ho",Corée du Sud,Capricci Films,Box Office France,3830,"3,5","3,0",29480.0,0
6264,cosmos,2015-12-09,"Comédie dramatique, Policier",1h 42min,Andrzej Zulawski,Andrzej Zulawski,"Sabine Azéma, Jean-François Balmer, Jonathan Genet",France,Alfama Films,Box Office France,3392,"2,7","2,0",53300.0,0
6266,foxfire,2013-01-02,Drame,2h 24min,Laurent Cantet,"Laurent Cantet, Robin Campillo","Raven Adamson, Katie Coseni, Madeleine Bisson",France,Haut et Court,Box Office France,57769,"4,0","3,2",381518.0,0
6267,de force,2011-10-26,Policier,1h 37min,Frank Henry,Frank Henry,"Isabelle Adjani, Eric Cantona, Simon Abkarian",France,Studio 37 / Rezo Films,Box Office France,15035,"1,3","1,4",276151.0,0
6268,jupiter holdja,2017-11-22,Drame,2h 03min,Kornél Mundruczó,Kata Wéber,"Merab Ninidze, Zsombor Jéger, György Cserhalmi",Hongrie,Pyramide Distribution,Box Office France,8411,"2,8","3,0",133536.0,0
6269,my big fat greek wedding 2,2016-03-30,"Comédie, Romance",1h 34min,Kirk Jones (II),Nia Vardalos,"Nia Vardalos, John Corbett, Lainie Kazan",U.S.A.,Metropolitan FilmExport,Box Office France,23626,"3,0","2,3",111509.0,18000000
6270,a prairie home companion,2006-12-06,Comédie dramatique,1h 40min,Robert Altman,"Garrison Keillor, Ken LaZebnik","Meryl Streep, Lily Tomlin, Lindsay Lohan",U.S.A.,Bac Films,Box Office France,53466,"3,9","2,9",147936.0,10000000
6272,les portes du soleil - algérie pour toujours,2015-03-18,Action,1h 32min,Jean-Marc Minéo,Jean-Marc Minéo,"Zakaria Ramdane, Smaïn Fairouze, Lorie Pester",Algérie,KapFilms,Box Office France,3607,"1,5",--,87857.0,0
6273,emmenez-moi,2005-07-13,Comédie,1h 38min,Edmond Bensimon,Edmond Bensimon,"Gérard Darmon, Zinedine Soualem, Lucien Jean-Baptiste",France,Mars Distribution,Box Office France,18063,"2,8","3,0",42705.0,0
6274,ma famille et le loup,2019-08-21,Comédie dramatique,1h 20min,Adriàn Garcia,"Adriàn Garcia, Victor Maldonado","Carmen Maura, Pierre Rochefort, Bruno Salomone",France,Apollo Films,Box Office France,29007,"3,2","3,2",137102.0,0
6275,historia de la meva mort,2013-10-23,"Fantastique, Drame",2h 28min,Albert Serra,Albert Serra,"Vicenç Altaió i Morral, Lluis Serrat Masanellas, Eliseu Huertas",Espagne,Les Bookmakers / Capricci Films,Box Office France,820,"3,0","2,4",10832.0,0
6276,l'autre,2009-02-04,Drame,1h 37min,Patrick-Mario Bernard,"Pierre Trividic, Pierre Trividic, Patrick-Mario Bernard","Dominique Blanc, Cyril Gueï, Peter Bonke",France,Ad Vitam,Box Office France,38507,"4,3","2,7",77507.0,0
6277,the upside of anger,2005-08-24,"Drame, Comédie, Romance",1h 55min,Mike Binder,Mike Binder,"Joan Allen, Kevin Costner, Erika Christensen",U.S.A.,Metropolitan FilmExport,Box Office France,55096,"3,5","2,7",49372.0,12000000
6279,« îmi este indiferent daca în istorie vom intra ca barbari »,2019-02-20,"Drame, Comédie",2h 19min,Radu Jude,Radu Jude,"Ioana Iacob, Alexandru Dabija, Alexandru Bogdan",Roumanie,Météore Films,Box Office France,1284,"3,8","3,3",10246.0,1986448
6280,the perfect candidate,2020-08-12,Drame,1h 45min,Haifaa Al Mansour,"Haifaa Al Mansour, Brad Niemann","Mila Alzahrani, Dae Al Hilali, Nourah Al Awad",Allemagne,Le Pacte,Box Office France,37499,"3,3","3,0",265896.0,0
6281,genova,2009-04-15,"Drame, Romance",1h 34min,Michael Winterbottom,"Michael Winterbottom, Laurence Coriat","Colin Firth, Hope Davis, Catherine Keener",Grande-Bretagne,Diaphana Films,Box Office France,15033,"3,0","2,2",71304.0,0
6283,la robe du soir,2010-02-24,Drame,1h 35min,Myriam Aziza,"Myriam Aziza, Sophie Bredier"," Lio, Alba Gaia Bellugi, Sophie Mounicot",France,Zelig Films Distribution,Box Office France,6559,"3,1","2,8",100131.0,0
6284,foxtrot,2018-04-25,"Drame, Guerre",1h 53min,Samuel Maoz,Samuel Maoz,"Lior Ashkenazi, Sarah Adler, Yonaton Shiray",France,Dulac Distribution,Box Office France,25961,"3,6","3,5",180861.0,0
6285,tempête,2016-02-24,Drame,1h 29min,Samuel Collardey,"Samuel Collardey, Catherine Paillé","Dominique Leborne, Matteo Leborne, Mailys Leborne",France,Ad Vitam,Box Office France,20466,"3,8","3,8",51164.0,12000000
6286,tepenin ardı,2013-04-10,Drame,1h 34min,Emin Alper,Emin Alper,"Tamer Levent, Reha Özcan, Mehmet Özgür",Turquie,Memento Distribution,Box Office France,3925,"3,5","2,8",122120.0,0
6287,magical girl,2015-08-12,"Drame, Thriller",2h 07min,Carlos Vermut,Carlos Vermut,"José Sacristán, Bárbara Lennie, Luis Bermejo",Espagne,Condor Distribution,Box Office France,22674,"3,6","3,3",287464.0,0
6288,neds,2011-08-31,Drame,1h 58min,Peter Mullan,Peter Mullan,"Conor McCarron, Gregg Forrest, Joe Szula",Grande-Bretagne,Mars Films,Box Office France,13187,"3,3","3,5",358915.0,0
6289,the switch,2010-08-25,Comédie,1h 42min,Josh Gordon,"Will Speck, Allan Loeb","Jennifer Aniston, Jason Bateman, Jeff Goldblum",U.S.A.,Metropolitan FilmExport,Box Office France,98680,"1,9","2,3",446918.0,19000000
6290,arthur christmas,2011-11-23,"Animation, Famille",1h 38min,Barry Cook,"Sarah Smith, Peter Baynham, Sarah Smith","James McAvoy, Hugh Laurie, Bill Nighy",Grande-Bretagne,Sony Pictures Releasing France,Box Office France,192853,"3,1","3,5",1951671.0,10000000
