Week Number,Start Date,End Date,Bordeaux,Lille,Lyon,Paris,Moyenne
27,2010-07-07,2010-07-13,25.39,25.6,27.17,23.55,25.74
27,2011-07-06,2011-07-12,20.32,16.93,23.91,19.86,21.6
27,2012-07-04,2012-07-10,19.67,18.46,21.86,20.18,21.43
27,2013-07-03,2013-07-09,22.72,20.14,22.31,19.98,22.43
27,2014-07-02,2014-07-08,20.15,17.1,21.57,20.17,21.2
27,2015-07-01,2015-07-07,25.6,22.96,29.15,25.18,25.98
27,2016-07-06,2016-07-12,20.1,18.16,21.55,19.97,21.36
27,2017-07-05,2017-07-11,23.65,22.78,25.88,23.82,24.63
27,2018-07-04,2018-07-10,24.53,22.84,21.65,21.89,23.58
27,2019-07-03,2019-07-09,26.77,18.45,26.07,24.19,24.5
27,2020-07-01,2020-07-07,19.87,17.05,22.19,19.58,21.14
27,2021-07-07,2021-07-13,19.48,18.34,18.88,17.9,20.32
27,2022-07-06,2022-07-12,26.55,19.65,22.6,22.49,23.66
27,2023-07-05,2023-07-11,22.21,22.71,28.09,21.78,24.36
28,2010-07-14,2010-07-20,22.11,20.71,22.42,19.57,22.56
28,2011-07-13,2011-07-19,17.8,14.49,18.41,15.91,18.92
28,2012-07-11,2012-07-17,17.9,15.97,17.55,14.6,18.8
