title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
La Grande vie,4 novembre 2009,['Comédie'],1h 25min,Emmanuel Salinger,"['Emmanuel Salinger', 'Christine Dory']","['Laurent Capelluto', 'Michel Boujenah', 'Hélène Fillières']","2,8","2,1",,France,Le Pacte,51494,['Box Office France'],"['04 au 11 novembre 2009', '11 au 18 novembre 2009']",15 761,4 004
A la découverte du monde,6 septembre 2017,['Animation'],0h 40min,,,,"3,7",--,à partir de 3 ans (children's film),France,KMBO,92247,['Box Office France'],"['06 au 13 septembre 2017', '13 au 20 septembre 2017']",3 908,3 597
Knives and Skin,20 novembre 2019,['Drame'],1h 52min,Jennifer Reeder,['Jennifer Reeder'],"['Marika Engelhardt', 'Raven Whitley', 'Audrey Francis']","2,7","2,0","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,UFO Distribution,130960,['Box Office France'],"['20 au 27 novembre 2019', '27 novembre au 4 décembre 2019']",6 145,2 227
Won't Back Down,,['Drame'],2h 01min,Daniel Barnz,"['Daniel Barnz', 'Brin Hill']","['Maggie Gyllenhaal', 'Viola Davis', 'Oscar Isaac']","3,5",--,,U.S.A.,,1929,['Box Office US'],"['28 septembre 2012 au 1 octobre 2012', '05 au 8 octobre 2012']",2 603 370,1 016 157
Urmel voll in Fahrt,8 avril 2009,['Famille'],,Reinhard Klooss,"['Holger Tappe', 'Reinhard Klooss', 'Oliver Huzly']","['Hannes Maurer', 'Wigald Boning', 'Anke Engelke']","2,4","2,9",à partir de 6 ans (children's film),Allemagne,Océan Films,97476,['Box Office France'],"['08 au 15 avril 2009', '15 au 22 avril 2009']",32 010,36 237
Lay the Favorite,8 août 2012,['Comédie'],1h 33min,Stephen Frears,['D.V. DeVincentis'],"['Bruce Willis', 'Rebecca Hall', 'Catherine Zeta-Jones']","1,7","1,8",,U.S.A.,Wild Bunch Distribution,351295,['Box Office France'],"['08 au 15 août 2012', '15 au 22 août 2012']",16 256,8 659
Grandma's Boy,7 mars 2007,['Comédie'],1h 34min,Nicholaus Goossen,"['Lisa London (II)', 'Barry Wernick', 'Allen Covert']","['Allen Covert', 'Doris Roberts', 'Shirley Jones']","1,0","2,3",,U.S.A.,Twentieth Century Fox France,31345,['Box Office US'],['06 au 9 janvier 2006'],3 009 341,
Die Biene Maja 2 - Die Honigspiele,18 juillet 2018,"['Animation', 'Famille']",1h 23min,Alexs Stadermann,"['Noel Cleary', 'Sergio Delfino', 'Fin Edquist', 'Alexs Stadermann']","['Jenifer Bartoli', 'Coco Jack Gillies', 'Lou Jean']","2,9","2,7",à partir de 3 ans (children's film),Allemagne,Paramount Pictures France,64265,['Box Office France'],"['18 au 25 juillet 2018', '25 juillet au 1 août 2018']",98 096,56 868
Life During Wartime,28 avril 2010,['Comédie dramatique'],1h 38min,Todd Solondz,['Todd Solondz'],"['Shirley Henderson', 'Ciarán Hinds', 'Allison Janney']","3,3","2,3",,U.S.A.,Le Pacte,84028,['Box Office France'],"['28 avril au 5 mai 2010', '05 au 12 mai 2010']",22 187,10 423
The Vintner's Luck,25 janvier 2012,"['Drame', 'Fantastique', 'Romance']",2h 00min,Niki Caro,"['Niki Caro', 'Joan Scheckel']","['Jérémie Renier', 'Gaspard Ulliel', 'Vera Farmiga']","3,2",--,,France,Acajou Films,8189,['Box Office France'],['25 janvier au 1 février 2012'],163,
Io sono Li,13 juin 2012,"['Drame', 'Romance']",1h 37min,Andrea Segre,"['Andrea Segre', 'Marco Pettenello']","['Zhao Tao', 'Rade Serbedzija', 'Marco Paolini']","3,6","3,8",,Italie,Haut et Court,207280,['Box Office France'],"['13 au 20 juin 2012', '20 au 27 juin 2012']",25 651,21 608
Swimfan,,['Thriller'],1h 25min,John Polson,"['Charles F. Bohl', 'Phillip Schneider']","['Kevin Payne', 'Jesse Bradford', 'Erika Christensen']","2,1",--,,U.S.A.,UFD,,['Box Office US'],"['06 au 9 septembre 2002', '13 au 16 septembre 2002']",12 430 000,6 070 000
Fixeur,22 mars 2017,['Drame'],1h 40min,Adrian Sitaru,"['Adrian Silisteanu', 'Claudia Silisteanu']","['Tudor Aaron Istodor', 'Mehdi Nebbou', 'Nicolas Wanczycki']","3,0","3,1",,Roumanie,Damned Distribution,20516,['Box Office France'],"['22 au 29 mars 2017', '29 mars au 5 avril 2017']",1 708,502
Hemel,29 janvier 2014,['Drame'],1h 24min,Sacha Polak,['Helena van der Meulen'],"['Hannah Hoekstra', 'Hans Dagelet', 'Rifka Lodeizen']","2,9","3,0","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Pays-Bas,ASC Distribution,10045,['Box Office France'],"['29 janvier au 5 février 2014', '05 au 12 février 2014']",126,54
Ubeur,23 novembre 2022,['Drame'],1h 15min, El Driss,,"[' El Driss', 'Lydie Misiek', 'Jacky Berroyer']","2,8",--,,France,48 entrées,,['Box Office France'],"['23 au 30 novembre 2022', '30 novembre au 7 décembre 2022']",37,17
Rara﻿,21 juin 2017,"['Drame', 'Famille']",1h 26min,Pepa San Martín,"['Pepa San Martín', 'Alicia Scherson']","['Julia Lübbert', 'Emilia Ossandon', 'Mariana Loyola']","3,5","3,6",,Argentine,Outplay Films,14518,['Box Office France'],"['21 au 28 juin 2017', '28 juin au 5 juillet 2017']",6 879,1 812
Virgil,7 septembre 2005,"['Comédie', 'Drame']",1h 33min,Mabrouk el Mechri,['Mabrouk el Mechri'],"[""Virgile M'Fouillou"", 'Jalil Lespert', 'Léa Drucker']","3,1","3,1",,France,Gaumont Columbia Tristar Films,22801,['Box Office France'],['07 au 14 septembre 2005'],25 238,
Head Over Heels,,"['Comédie', 'Romance']",1h 26min,Mark Waters,"['Ron Burch', 'David Kidd']","['Freddie Prinze Jr.', 'Monica Potter', 'Ivana Milicevic']","2,6",--,,U.S.A.,,,['Box Office US'],['31 janvier 2001 au 3 février 2001'],5 000 000,
