title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
la cage dorée,2013-04-24,Comédie,60,Ruben Alves,"Ruben Alves, Jean-André Yerles","Rita Blanco, Joaquim de Almeida, Roland Giraud",Portugal,Pathé,288750,3.5,3.9,934415.0,7000000.0,12.6,10.48,14.37,11.3,9.86,Spring,2013
nightmare alley,2022-01-19,"Drame, Thriller",120,Guillermo del Toro,"Guillermo del Toro, Kim Morgan","Bradley Cooper, Cate Blanchett, Toni Collette",U.S.A.,The Walt Disney Company France,142309,3.8,3.8,347143.0,60000000.0,2.62,3.27,2.85,0.79,3.2,Winter,2022
la la land,2017-01-25,"Comédie musicale, Romance",120,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend",U.S.A.,SND,754534,4.4,4.2,1639036.0,30000000.0,3.48,2.62,5.12,1.87,3.79,Winter,2017
the lost city of z,2017-03-15,Aventure,120,James Gray,James Gray,"Charlie Hunnam, Sienna Miller, Tom Holland",U.S.A.,StudioCanal,150045,4.5,3.9,661049.0,30000000.0,11.86,11.86,11.65,13.44,11.37,Spring,2017
mascarade,2022-11-01,Comédie dramatique,120,Nicolas Bedos,Nicolas Bedos,"Pierre Niney, Isabelle Adjani, François Cluzet",France,Pathé,91498,2.5,3.6,175192.0,14000000.0,22.96,15.85,19.56,18.61,17.76,Autumn,2022
the unbearable weight of massive talent,2022-04-20,"Action, Comédie",60,Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Alessandra Mastronardi",U.S.A.,Metropolitan FilmExport,57763,3.1,3.1,161725.0,30000000.0,13.17,11.85,12.6,12.55,12.86,Spring,2022
see how they run,2022-09-14,"Comédie, Policier",60,Tom George,Mark Chappell,"Sam Rockwell, Saoirse Ronan, Adrien Brody",Grande-Bretagne,The Walt Disney Company France,56893,2.8,2.9,31876.0,40000000.0,21.05,14.44,21.08,16.35,16.37,Autumn,2022
the fabelmans,2023-02-22,"Biopic, Drame",120,Steven Spielberg,"Steven Spielberg, Tony Kushner","Gabriel LaBelle, Michelle Williams, Paul Dano",U.S.A.,Universal Pictures International France,367332,4.9,4.3,325050.0,40000000.0,5.69,4.78,5.45,5.07,5.13,Winter,2023
life of pi,2012-12-19,"Aventure, Drame",120,Ang Lee,David Magee,"Suraj Sharma, Irrfan Khan, Adil Hussain",U.S.A.,Twentieth Century Fox France,426112,3.6,4.1,1482092.0,120000000.0,16.9,7.27,10.54,7.48,8.2,Winter,2012
ambulance,2022-03-23,"Thriller, Action",120,Michael Bay,Chris Fedak,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza Gonzalez",U.S.A.,Universal Pictures International France,142412,3.1,2.7,189094.0,40000000.0,12.23,10.47,14.11,13.23,11.32,Spring,2022
sauver ou périr,2018-11-28,Drame,60,Frédéric Tellier,"David Oelhoffen, Frédéric Tellier","Pierre Niney, Anaïs Demoustier, Chloé Stefani",France,Mars Films,338929,3.3,4.1,906686.0,0.0,17.93,11.3,11.13,7.92,11.29,Autumn,2018
interstellar,2014-11-05,"Science fiction, Drame",120,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Michael Caine",U.S.A.,Warner Bros. France,1071360,3.8,4.5,2356624.0,165000000.0,15.84,8.29,9.11,7.83,8.96,Autumn,2014
the pope's exorcist,2023-05-10,"Epouvante-horreur, Biopic, Fantastique",60,Julius Avery,"Evan Spiliotopoulos, Michael Petroni","Russell Crowe, Daniel Zovatto, Alex Essoe",U.S.A.,Sony Pictures Releasing France,155555,2.9,2.8,64027.0,18000000.0,14.3,12.55,13.83,13.9,12.2,Spring,2023
zillion,2023-06-21,"Drame, Biopic",120,Robin Pront,Robin Pront,"Jonas Vermeulen, Matteo Simoni, Charlotte Timmers",Belgique,CGR EVENTS,278,2.9,3.6,3391.0,7492030.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
suzume no tojimari,2023-04-12,"Animation, Aventure, Drame",120,Makoto Shinkai,Makoto Shinkai,"Lévanah Solomon, Nanoka Hara, Benjamin Jungers",Japon,Eurozoom,181032,3.8,4.2,63363.0,0.0,11.13,8.03,12.42,10.19,9.99,Spring,2023
tirailleurs,2023-01-04,"Drame, Historique, Guerre",60,Mathieu Vadepied,"Olivier Demangel, Mathieu Vadepied","Omar Sy, Alassane Diong, Jonas Bloquet",France,Gaumont Distribution,456751,3.3,2.5,137676.0,0.0,7.59,9.36,9.92,8.83,8.83,Winter,2023
mon crime,2023-03-08,"Comédie dramatique, Policier, Judiciaire, Drame, Comédie",60,François Ozon,François Ozon,"Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert",France,Gaumont Distribution,427391,4.0,3.9,162516.0,13700000.0,10.44,6.41,12.82,10.73,12.23,Spring,2023
green book,2019-01-23,"Drame, Biopic",120,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini",U.S.A.,Metropolitan FilmExport,288777,4.0,4.5,1391794.0,23000000.0,3.97,2.54,6.74,2.28,4.27,Winter,2019
triangle of sadness,2022-09-28,"Drame, Comédie",120,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean Kriek, Woody Harrelson",Suède,Bac Films,179786,3.2,3.8,498125.0,15600000.0,18.97,11.02,17.17,15.74,11.94,Autumn,2022
c'est tout pour moi,2017-11-29,Comédie dramatique,60,Nawell Madani,"Ludovic Colbeau-Justin, Nawell Madani, Ali Boughéraba","Nawell Madani, François Berléand, Mimoun Benabderrahmane",France,UGC Distribution,250306,3.0,3.6,692756.0,0.0,11.88,2.74,3.74,1.64,3.3,Autumn,2017
les choses simples,2023-02-22,Comédie,60,Eric Besnard,Eric Besnard,"Lambert Wilson, Grégory Gadebois, Marie Gillain",France,SND,222130,2.7,3.8,106287.0,5950000.0,5.69,4.78,5.45,5.07,5.13,Winter,2023
mon inconnue,2019-04-03,"Comédie, Romance",60,Hugo Gélin,"Hugo Gélin, Igor Gotesman","François Civil, Joséphine Japy, Benjamin Lavernhe",France,Mars Films,209564,3.9,4.1,814861.0,7950000.0,9.39,8.92,8.55,8.18,7.31,Spring,2019
petit pays,2020-08-28,Drame,60,Eric Barbier,"Jean-Paul Rouve, Eric Barbier","Jean-Paul Rouve, Djibril Vancoppenolle, Dayla De Medina",France,Pathé,101776,3.7,3.8,328097.0,0.0,21.41,16.42,19.75,17.88,17.99,Summer,2020
mission: impossible - rogue nation,2015-08-12,"Action, Espionnage",120,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,1233768,3.7,3.9,851416.0,150000000.0,22.16,18.3,18.82,21.83,18.87,Summer,2015
deux moi,2019-09-11,Drame,60,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Ana Girardot, François Civil, Camille Cottin",France,StudioCanal,238161,3.7,3.5,968174.0,0.0,23.42,16.22,21.81,22.36,19.71,Autumn,2019
moka,2016-08-17,Drame,60,Frédéric Mermoud,"Frédéric Mermoud, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",France,Pyramide Distribution,85331,3.2,3.0,312622.0,0.0,23.15,20.36,20.67,22.1,19.62,Summer,2016
spider-man: into the spider-verse,2018-12-12,"Animation, Action, Famille",60,Bob Persichetti,"Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman","Stéphane Bak, Shameik Moore, Jake Johnson (XVI)",U.S.A.,Sony Pictures Releasing France,218728,4.2,4.4,621955.0,90000000.0,12.77,2.98,8.05,0.62,2.19,Winter,2018
john wick: chapter 4,2023-03-22,Action,120,Chad Stahelski,"Michael Finch, Shay Hatten","Keanu Reeves, Donnie Yen, Bill Skarsgård",U.S.A.,Metropolitan FilmExport,411048,3.6,3.9,190133.0,90000000.0,11.13,8.32,12.74,11.92,10.68,Spring,2023
x,2022-11-02,Epouvante-horreur,60,Ti West,Ti West,"Mia Goth, Jenna Ortega, Martin Henderson",U.S.A.,Kinovista,31224,3.9,3.0,307849.0,10000000.0,18.55,10.88,14.88,11.93,11.05,Autumn,2022
plancha,2022-10-26,Comédie,60,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Lambert Wilson, Franck Dubosc, Guillaume De Tonquédec",France,StudioCanal,271193,2.1,2.3,223563.0,0.0,22.96,15.85,19.56,18.61,17.76,Autumn,2022
alibi.com 2,2023-02-08,Comédie,60,Philippe Lacheau,"Philippe Lacheau, Pierre Lacheau","Philippe Lacheau, Élodie Fontan, Tarek Boudali",France,StudioCanal,81100,3.0,3.9,587040.0,0.0,4.97,6.03,5.37,3.26,4.17,Winter,2023
mauvaises herbes,2018-11-21,Comédie,60,Kheiron, Kheiron," Kheiron, Catherine Deneuve, André Dussollier",France,Mars Films,201117,3.4,4.1,481325.0,0.0,14.47,4.7,8.19,6.29,6.15,Autumn,2018
knor,2023-06-28,"Animation, Famille, Aventure",60,Mascha Halberstad,Fiona van Heemstra,"Hiba Ghafry, Matsen Montsma, Kees Prins",Pays-Bas,The Jokers / Les Bookmakers,6286,3.4,2.3,7449.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
le parfum vert,2022-12-21,"Comédie, Policier",60,Nicolas Pariser,Nicolas Pariser,"Sandrine Kiberlain, Vincent Lacoste, Rüdiger Vogler",France,Diaphana Distribution,80190,3.5,2.3,129678.0,7800000.0,19.39,9.21,13.53,12.32,10.89,Winter,2022
à la belle étoile,2023-02-22,"Comédie, Drame",60,Sébastien Tulard,Cédric Ido,"Riadh Belaïche, Loubna Abidar, Christine Citti",France,Bac Films,67974,2.9,3.7,177447.0,0.0,5.69,4.78,5.45,5.07,5.13,Winter,2023
nezouh,2023-06-21,Drame,60,Soudade Kaadan,Soudade Kaadan,"Kinda Aloush, Hala Zein, Samir Almasri",Syrie,Pyramide Distribution,3771,3.0,3.0,70368.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
les petites victoires,2023-03-01,Comédie,60,Mélanie Auffret,"Michaël Souhaité, Mélanie Auffret","Michel Blanc, Julia Piaton, Lionel Abelanski",France,Zinc Film,250360,3.6,3.9,130702.0,5460000.0,4.54,3.35,4.17,2.44,3.75,Spring,2023
le nouveau jouet,2022-10-19,Comédie,60,James Huth,"James Huth, Sonja Shillito","Jamel Debbouze, Daniel Auteuil, Simon Faliu",France,Sony Pictures Releasing France,271139,3.5,2.5,205949.0,0.0,22.34,14.78,18.99,19.03,16.89,Autumn,2022
spy,2015-06-17,"Comédie, Action",120,Paul Feig,Paul Feig,"Melissa McCarthy, Jason Statham, Jude Law",U.S.A.,Twentieth Century Fox France,249389,3.0,3.5,502395.0,65000000.0,19.48,14.07,21.0,19.11,18.2,Summer,2015
stars at noon,2023-06-14,"Drame, Romance, Thriller",120,Claire Denis,"Claire Denis, Léa Mysius","Margaret Qualley, Joe Alwyn, Benny Safdie",France,Ad Vitam,13094,2.5,2.1,86313.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
omar la fraise,2023-05-24,Drame,60,Elias Belkeddar,"Elias Belkeddar, Jérôme Pierrat","Reda Kateb, Benoît Magimel, Meriem Amiar",France,StudioCanal,140144,3.4,2.9,188941.0,5490000.0,18.3,14.93,21.01,18.26,16.28,Spring,2023
j'accuse,2019-11-13,"Drame, Historique, Thriller",120,Roman Polanski,"Robert Harris (II), Roman Polanski","Jean Dujardin, Louis Garrel, Emmanuelle Seigner",France,Gaumont Distribution,501228,4.0,3.8,746877.0,25300000.0,13.07,5.25,6.08,2.99,5.02,Autumn,2019
the hunt,2020-06-22,"Action, Thriller",60,Craig Zobel,"Damon Lindelof, Nick Cuse","Betty Gilpin, Hilary Swank, Wayne Duvall",U.S.A.,Universal Pictures International France,19864,3.2,3.0,270591.0,14000000.0,20.05,19.45,18.59,18.26,18.96,Summer,2020
fumer fait tousser,2022-11-30,Comédie,60,Quentin Dupieux,Quentin Dupieux,"Gilles Lellouche, Vincent Lacoste, Anaïs Demoustier",France,Gaumont Distribution,87446,3.2,2.7,159300.0,6009575.0,13.1,3.52,5.51,4.56,3.89,Autumn,2022
je verrai toujours vos visages,2023-03-29,Drame,60,Jeanne Herry,Jeanne Herry,"Adèle Exarchopoulos, Dali Benssalah, Leïla Bekhti",France,StudioCanal,282292,4.1,4.4,411827.0,0.0,11.63,9.31,13.95,12.14,9.74,Spring,2023
marinette,2023-06-07,Biopic,60,Virginie Verrier,Virginie Verrier,"Garance Marillier, Emilie Dequenne, Alban Lenoir",France,The Jokers / Les Bookmakers,26273,3.0,3.8,103858.0,5500000.0,22.29,23.93,21.05,21.23,22.24,Summer,2023
avatar: the way of water,2022-12-14,"Science fiction, Aventure, Fantastique, Action",180,James Cameron,"James Cameron, Rick Jaffa","Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,2739848,4.1,4.2,926514.0,460000000.0,13.07,0.8,8.75,4.75,1.06,Winter,2022
knights of the zodiac,2023-05-24,"Aventure, Action, Fantastique",60,Tomasz Baginski,"Kiel Murray, Josh Campbell"," Mackenyu, Famke Janssen, Sean Bean",Japon,Sony Pictures Releasing France,41841,1.5,1.6,69197.0,60000000.0,18.3,14.93,21.01,18.26,16.28,Spring,2023
la nuit du verre d’eau,2023-06-14,"Drame, Romance",60,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",France,JHR Films / Jour2Fête,12657,2.6,3.6,118974.0,1200000.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
jeanne du barry,2023-05-16,"Drame, Historique, Romance",60,Maïwenn," Maïwenn, Teddy Lussi-Modeste"," Maïwenn, Johnny Depp, Benjamin Lavernhe",France,Le Pacte,45029,3.1,3.6,306631.0,0.0,14.3,12.55,13.83,13.9,12.2,Spring,2023
marcel the shell with shoes on,2023-06-14,"Animation, Comédie, Famille",60,Dean Fleischer-Camp,"Dean Fleischer-Camp, Nick Paley","Jenny Slate, Dean Fleischer-Camp, Isabella Rossellini",U.S.A.,L'Atelier Distribution,7514,3.8,4.0,16437.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
les trois mousquetaires: d'artagnan,2023-04-05,"Aventure, Historique",120,Martin Bourboulon,"Alexandre De La Patellière, Matthieu Delaporte","François Civil, Vincent Cassel, Romain Duris",France,Pathé,1007159,3.7,4.0,413411.0,27500000.0,11.62,9.04,12.94,11.34,10.78,Spring,2023
the super mario bros. movie,2023-04-05,"Animation, Famille, Comédie",60,Aaron Horvath,"Michael Jelenic, Matthew Fogel","Pierre Tessier, Chris Pratt, Jérémie Covillault",U.S.A.,Universal Pictures International France,1866914,3.1,4.1,387089.0,100000000.0,11.62,9.04,12.94,11.34,10.78,Spring,2023
the boogeyman,2023-05-31,"Epouvante-horreur, Thriller",60,Rob Savage,"Mark Heyman, Scott Beck","Chris Messina, Sophie Thatcher, Vivien Lyra Blair",U.S.A.,The Walt Disney Company France,101134,3.2,2.7,55125.0,41900000.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
la sirène,2023-06-28,"Animation, Drame",60,Sepideh Farsi,Javad Djavahery,"Mina Kavani, Hadmidreza Djavdan",France,Bac Films,3933,3.5,3.7,85820.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
l'île rouge,2023-05-31,Drame,60,Robin Campillo,Robin Campillo,"Nadia Tereszkiewicz, Quim Gutiérrez, Charlie Vauselle",France,Memento Distribution,55090,3.5,2.7,175390.0,6570000.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
fifi,2023-06-14,Comédie dramatique,60,Jeanne Aslan,"Paul Saintillan, Jeanne Aslan, Paul Saintillan","Céleste Brunnquell, Quentin Dolmaire, Ilan Schermann",France,New Story,17284,3.6,3.9,130618.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
rheingold,2023-06-28,"Biopic, Musical, Drame",120,Fatih Akın,Fatih Akın,"Emilio Sakraya, Mona Pirzad, Hussein Eliraqui",Allemagne,Pathé,11672,3.0,3.4,6329.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
"cléo, melvil et moi",2023-07-05,Comédie dramatique,60,Arnaud Viard,Arnaud Viard,"Arnaud Viard, Marianne Denicourt, Romane Bohringer",France,Moonlight Films Distribution,1849,3.3,3.2,55795.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
luise,2023-07-05,"Drame, Historique, Romance",60,Matthias Luthardt,"Sebastian Bleyl, Matthias Luthardt","Luise Aschenbrenner, Christa Théret, Leonard Kunz",France,Pyramide Distribution,1215,2.8,2.7,83578.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
carmen,2023-06-14,"Drame, Romance",60,Benjamin Millepied,"Benjamin Millepied, Loïc Barrère","Paul Mescal, Melissa Barrera, Rossy de Palma",Australie,Pathé,24397,2.5,3.4,17166.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
le processus de paix,2023-06-14,"Romance, Comédie dramatique",60,Ilan Klipper,"Ilan Klipper, Camille Chamoux","Camille Chamoux, Damien Bonnard, Ariane Ascaride",France,Le Pacte,34918,3.6,2.6,151690.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
passages,2023-06-28,"Drame, Romance",60,Ira Sachs,"Ira Sachs, Maurício Zacharias","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",France,SBS Distribution,11227,2.8,2.7,128140.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
fast x,2023-05-17,Action,120,Louis Leterrier,"Dan Mazeau, Justin Lin","Vin Diesel, Michelle Rodriguez, Jason Momoa",U.S.A.,Universal Pictures International France,1140846,2.9,3.1,214291.0,340000000.0,15.75,13.87,14.78,16.44,13.66,Spring,2023
master gardener,2023-07-05,"Drame, Thriller",60,Paul Schrader,Paul Schrader,"Joel Edgerton, Sigourney Weaver, Quintessa Swindell",U.S.A.,The Jokers / Les Bookmakers,20443,3.5,3.1,9125.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
des mains en or,2023-06-07,Comédie,60,Isabelle Mergault,"Isabelle Mergault, Jean-Pierre Hasson","Lambert Wilson, Josiane Balasko, Sylvie Testud",France,Zinc Film,109081,2.2,3.4,46859.0,0.0,22.29,23.93,21.05,21.23,22.24,Summer,2023
wahou !,2023-06-07,Comédie,60,Bruno Podalydès,Bruno Podalydès,"Karin Viard, Bruno Podalydès, Sabine Azéma",France,UGC Distribution,95610,3.5,2.5,163623.0,0.0,22.29,23.93,21.05,21.23,22.24,Summer,2023
l’ultima notte di amore,2023-06-07,Thriller,120,Andrea Di Stefano,Andrea Di Stefano,"Pierfrancesco Favino, Linda Caridi, Antonio Gerardi",Italie,Universal Pictures International France,40869,3.5,4.0,20617.0,9500000.0,22.29,23.93,21.05,21.23,22.24,Summer,2023
yo mama,2023-07-05,Comédie,60,Leïla Sy,"Amadou Mariko, Amadou Mariko","Claudia Tagbo,  Zaho, Sophie-Marie Larrouy",France,Gaumont Distribution,78717,2.4,2.9,91758.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
transformers: rise of the beasts,2023-06-07,"Action, Science fiction",120,Steven Caple Jr.,"Jon Hoeber, Erich Hoeber","Anthony Ramos, Dominique Fishback, Luna Lauren Velez",U.S.A.,Paramount Pictures France,451052,2.8,3.1,161429.0,195000000.0,22.29,23.93,21.05,21.23,22.24,Summer,2023
magnificat,2023-06-21,"Drame, Policier",60,Virginie Sauveur,"Virginie Sauveur, Nicolas Silhol","Karin Viard, François Berléand, Maxime Bergeron",France,Orange Studio / Alba Films,30964,2.5,3.4,92834.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
the little mermaid,2023-05-24,"Aventure, Famille, Fantastique",120,Rob Marshall,David Magee,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy",U.S.A.,The Walt Disney Company France,582814,2.5,2.3,176493.0,250000000.0,18.3,14.93,21.01,18.26,16.28,Spring,2023
l'amour et les forêts,2023-05-24,"Thriller, Drame",60,Valérie Donzelli,"Valérie Donzelli, Audrey Diwan","Virginie Efira, Melvil Poupaud, Dominique Reymond",France,Diaphana Distribution,220327,3.8,3.9,186370.0,0.0,18.3,14.93,21.01,18.26,16.28,Spring,2023
love life,2023-06-14,Drame,120,Kôji Fukada,Kôji Fukada,"Fumino Kimura, Tomorowo Taguchi, Tetta Shimada",Japon,Art House,34071,3.7,3.8,200417.0,0.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
38°5 quai des orfèvres,2023-06-21,"Comédie, Policier",60,Benjamin Lehrer,Benjamin Lehrer,"Didier Bourdon, Caroline Anglade, Yann Papin",France,KMBO,45576,2.3,1.6,165421.0,3700000.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
les vengeances de maître poutifard,2023-06-28,"Comédie, Famille",60,Pierre-François Martin-Laval,Pierre-François Martin-Laval,"Christian Clavier, Isabelle Nanty, Jennie-Anne Walker",France,UGC Distribution,180735,2.0,2.1,47340.0,0.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
la vie d'adèle - chapitres 1 et 2,2013-10-09,"Drame, Romance",120,Abdellatif Kechiche,"Abdellatif Kechiche, Ghalya Lacroix","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche",France,Wild Bunch Distribution,323457,4.6,3.6,1117916.0,4300000.0,16.85,9.23,12.5,11.13,10.4,Autumn,2013
the bad guys,2022-04-06,"Animation, Comédie, Aventure, Famille",60,Pierre Perifel,"Etan Cohen, Hilary Winston","Pierre Niney, Sam Rockwell, Igor Gotesman",U.S.A.,Universal Pictures International France,259472,3.6,3.9,186448.0,80000000.0,11.52,10.81,11.58,11.95,9.28,Spring,2022
le clan,2023-01-18,Comédie,60,Eric Fraticelli,Eric Fraticelli,"Eric Fraticelli, Denis Braccini, Philippe Corti",France,Pan Distribution,101291,3.3,3.7,52282.0,0.0,1.73,1.7,1.29,0.82,1.84,Winter,2023
after,2019-04-17,"Romance, Drame",60,Jenny Gage,"Susan McMartin, Jenny Gage","Josephine Langford, Hero Fiennes Tiffin, Samuel Larsen",U.S.A.,SND,624513,1.9,2.3,1392704.0,14000000.0,16.17,14.84,16.65,17.09,16.25,Spring,2019
vous n'aurez pas ma haine,2022-11-02,Drame,60,Kilian Riedhof,"Jan Braren, Marc Blöbaum","Pierre Deladonchamps, Zoé Iorio, Camélia Jordana",Allemagne,Haut et Court,9010,2.3,1.8,109532.0,0.0,18.55,10.88,14.88,11.93,11.05,Autumn,2022
armageddon time,2022-11-09,Drame,60,James Gray,James Gray,"Anne Hathaway, Jeremy Strong, Banks Repeta",U.S.A.,Universal Pictures International France,155547,4.4,3.7,205962.0,15000000.0,17.67,8.97,12.88,12.11,9.4,Autumn,2022
interdit aux chiens et aux italiens,2023-01-25,"Animation, Famille",60,Alain Ughetto,"Alain Ughetto, Alexis Galmot","Ariane Ascaride, Alain Ughetto",France,Gebeka Films,41957,3.9,4.0,44323.0,0.0,3.85,4.78,5.29,1.31,3.88,Winter,2023
drunk,2020-10-14,"Drame, Comédie",60,Thomas Vinterberg,"Tobias Lindholm, Thomas Vinterberg","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang",Danemark,Haut et Court,114935,3.9,4.1,378396.0,0.0,17.02,10.53,12.04,10.03,10.49,Autumn,2020
corsage,2022-12-14,"Drame, Historique, Biopic",60,Marie Kreutzer,Marie Kreutzer,"Vicky Krieps, Florian Teichtmeister, Katharina Lorenz",Autriche,Ad Vitam,35145,3.7,3.1,115961.0,7580600.0,13.07,0.8,8.75,4.75,1.06,Winter,2022
ailleurs si j'y suis,2023-03-29,Comédie,60,François Pirot,"François Pirot, Emmanuel Marre","Jérémie Renier, Suzanne Clément, Jean-Luc Bideau",Belgique,UFO Distribution,10680,3.1,2.9,154193.0,0.0,11.63,9.31,13.95,12.14,9.74,Spring,2023
the hunger games,2012-03-21,"Action, Drame, Science fiction",120,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,509426,3.4,3.8,6032761.0,75000000.0,13.36,12.78,14.6,13.4,14.04,Spring,2012
fifty shades of grey,2015-02-11,"Drame, Romance, Thriller",120,Sam Taylor-Johnson,Kelly Marcel,"Jamie Dornan, Dakota Johnson, Jennifer Ehle",U.S.A.,Universal Pictures International France,2081638,2.1,2.0,2659258.0,40000000.0,5.76,4.43,6.26,6.18,4.95,Winter,2015
the grand budapest hotel,2014-02-26,"Comédie, Drame",60,Wes Anderson,"Wes Anderson, Hugo Guinness","Ralph Fiennes, Tony Revolori, F. Murray Abraham",U.S.A.,Twentieth Century Fox France,405061,4.5,4.2,1176365.0,30000000.0,7.2,6.64,8.32,6.28,5.76,Winter,2014
le jeu,2018-10-17,"Drame, Comédie",60,Fred Cavayé,Fred Cavayé,"Bérénice Bejo, Suzanne Clément, Stéphane De Groodt",France,Mars Films,429132,3.4,3.8,1286367.0,8500000.0,18.43,11.78,13.98,12.64,11.75,Autumn,2018
les têtes givrées,2023-02-08,Comédie dramatique,60,Stéphane Cazes,"Stéphane Cazes, Isabelle Fontaine","Clovis Cornillac, Claudia Tagbo, Marwa Merdjet Yahia",France,UGC Distribution / TF1 Studio,61469,3.0,3.7,82864.0,0.0,4.97,6.03,5.37,3.26,4.17,Winter,2023
envole-moi,2021-05-19,Comédie dramatique,60,Christophe Barratier,"Christophe Barratier, Matthieu Delaporte","Victor Belmondo, Yoann Eloundou, Gérard Lanvin",France,Pathé,54583,2.9,3.4,216976.0,0.0,14.15,11.96,13.39,13.61,11.81,Spring,2021
budapest,2018-06-27,Comédie,60,Xavier Gens,Manu Payet,"Manu Payet, Jonathan Cohen, Alice Belaïdi",France,Warner Bros. France,126231,2.3,2.6,508067.0,0.0,23.78,22.51,23.35,24.27,22.78,Summer,2018
once upon a time… in hollywood,2019-08-14,"Drame, Comédie",120,Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie",U.S.A.,Sony Pictures Releasing France,1132221,4.1,3.8,781462.0,95000000.0,22.22,16.89,21.58,20.95,18.68,Summer,2019
comme les 5 doigts de la main,2010-04-28,Policier,60,Alexandre Arcady,"Alexandre Arcady, Eric Assous","Patrick Bruel, Vincent Elbaz, Pascal Elbé",France,ARP Sélection,230290,1.8,2.7,487300.0,0.0,14.0,12.13,13.95,15.21,11.71,Spring,2010
un vrai bonhomme,2020-01-08,Comédie dramatique,60,Benjamin Parent,"Benjamin Parent, Théo Courtial","Thomas Guy, Benjamin Voisin, Isabelle Carré",France,Ad Vitam,21774,3.4,3.9,210320.0,0.0,7.09,10.08,8.79,6.06,8.52,Winter,2020
puss in boots: the last wish,2022-12-07,"Animation, Comédie, Aventure, Famille",60,Januel P. Mercado,"Joel Crawford, Paul Fisher (II), Tommy Swerdlow","Boris Rehlinger, Antonio Banderas, Diane Dassigny",U.S.A.,Universal Pictures International France,502167,3.1,4.2,232331.0,90000000.0,10.46,0.38,2.52,0.12,0.3,Winter,2022
renfield,2023-05-31,"Comédie, Epouvante-horreur",60,Chris McKay,Ryan Ridley,"Nicholas Hoult, Nicolas Cage,  Awkwafina",U.S.A.,Universal Pictures International France,25984,2.3,2.8,147180.0,65000000.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
the son,2023-03-01,Drame,120,Florian Zeller,"Florian Zeller, Christopher Hampton","Hugh Jackman, Laura Dern, Vanessa Kirby",France,Orange Studio Distribution / UGC Distribution,102272,3.2,3.9,115768.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,2023
