,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2408,"Comédie, Famille",103,France,130509,2.2,2.8,807306.0,6113859.0,20.89,13.82,17.85,15.99,15.78,Autumn,False,0.0,0.0,0,161.0
2409,"Romance, Famille, Science fiction",103,France,13343,3.4,3.7,181960.0,0.0,7.78,6.76,9.5,9.12,7.54,Winter,False,0.0,0.0,0,64.0
2410,"Comédie, Drame, Romance",100,U.S.A.,69082,2.9,3.0,1178791.0,10000000.0,24.08,20.0,26.28,21.1,21.01,Summer,True,0.33,0.0,0,142.0
2411,"Thriller, Epouvante-horreur",108,Australie,10410,3.4,3.4,290924.0,0.0,22.56,19.99,20.98,23.37,20.47,Summer,True,0.0,0.0,0,54.0
2412,"Drame, Historique, Biopic",94,France,43294,3.6,3.7,384288.0,8500000.0,13.88,10.41,15.08,15.36,12.54,Spring,True,0.0,0.0,0,86.0
2413,Comédie,99,U.S.A.,237700,2.0,2.5,1657290.0,30000000.0,21.6,16.93,20.32,23.91,19.86,Summer,True,0.67,0.5,1,142.0
2414,Comédie dramatique,123,U.S.A.,92995,2.3,3.6,227604.0,22000000.0,21.82,16.38,19.57,18.87,17.28,Autumn,False,0.0,0.0,0,258.0
2415,Comédie dramatique,86,France,67837,3.1,2.8,215757.0,0.0,19.62,17.88,18.07,17.31,18.83,Summer,False,0.33,0.0,0,127.0
2416,Drame,95,France,12430,3.4,3.1,191311.0,0.0,22.9,19.33,22.99,21.75,21.44,Summer,True,0.0,0.0,0,64.0
2417,"Thriller, Drame",95,France,4233,3.0,2.5,100994.0,0.0,22.91,18.86,25.29,25.32,22.07,Summer,False,0.0,0.0,0,79.0
2418,"Drame, Historique",113,Portugal,12767,1.6,3.1,54266.0,0.0,18.02,11.17,14.46,11.58,12.88,Autumn,False,0.0,0.0,0,7.0
2419,Drame,98,France,102832,3.8,3.1,278110.0,2100000.0,11.33,10.83,10.67,12.71,8.42,Spring,True,0.33,0.0,0,70.0
2420,Science fiction,107,U.S.A.,135499,2.0,3.2,602055.0,12000000.0,8.0,6.19,10.7,7.03,7.1,Winter,True,0.0,0.0,0,107.0
2421,Drame,99,U.S.A.,64037,2.9,2.7,756636.0,14000000.0,5.65,5.34,4.73,4.11,4.06,Spring,False,0.33,0.0,0,161.0
2422,Comédie,88,France,173283,2.8,2.8,439663.0,0.0,24.56,19.41,25.31,28.82,23.28,Summer,False,0.33,0.0,0,150.0
2423,Fantastique,134,Italie,68182,3.0,2.6,613859.0,12000000.0,25.98,22.96,25.6,29.15,25.18,Summer,False,0.33,0.0,0,207.0
2424,Thriller,120,Corée du Sud,10288,2.9,3.8,266851.0,0.0,19.62,17.88,18.07,17.31,18.83,Summer,False,0.0,0.0,0,116.0
2425,"Epouvante-horreur, Thriller",95,U.S.A.,177224,2.1,2.7,1045638.0,14000000.0,17.82,8.01,11.34,8.75,9.01,Winter,True,0.33,0.0,0,258.0
2426,Drame,111,Italie,55667,3.6,2.9,116671.0,0.0,5.76,4.43,6.26,6.18,4.95,Winter,True,0.0,0.0,0,129.0
2427,Comédie dramatique,97,France,89642,3.2,3.6,578610.0,0.0,7.03,2.46,9.66,7.42,2.62,Spring,False,0.0,0.0,0,139.0
2428,"Thriller, Drame",108,Corée du Sud,34808,3.6,3.7,246875.0,0.0,22.41,16.85,22.89,22.95,21.37,Summer,True,0.0,0.0,0,134.0
2429,"Comédie, Romance, Drame",98,Irlande,18123,3.0,3.3,201043.0,11000000.0,19.66,11.0,14.94,14.17,14.17,Autumn,True,0.33,0.0,0,142.0
2430,"Comédie, Drame",82,France,335335,3.1,3.9,749029.0,0.0,20.19,19.45,20.42,19.18,19.92,Summer,False,0.33,0.0,0,161.0
