title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
doutes,2013-11-13,Comédie dramatique,84,Yamini Lila Kumar,Yamini Lila Kumar,"Benjamin Biolay, Christophe Barbier (II), Lara Guirao",France,Zelig Films Distribution,1 428,"1,6","1,1",21712,0.0,Autumn
praia do futuro,2014-12-03,Drame,106,Karim Aïnouz,"Felipe Bragança, Karim Aïnouz","Wagner Moura, Clemens Schick, Jesuíta Barbosa",Brésil,Epicentre Films,2 260,"2,7","2,4",13048,0.0,Winter
"l'incruste, fallait pas le laisser entrer !",2004-03-31,Comédie,90,Corentin Julius,"Alexandre Castagnetti, Alexandre Castagnetti, Corentin Julius","Frédéric Diefenthal,  Titoff, Zoé Félix",France,Warner Bros. France,208 312,"2,8","1,5",11886,0.0,Spring
au galop,2012-10-17,Comédie dramatique,93,Louis-Do de Lencquesaing,Louis-Do de Lencquesaing,"Marthe Keller, Valentina Cervi, Alice de Lencquesaing",France,Pyramide Distribution,20 098,"2,8","2,4",506276,0.0,Autumn
tepenin ardı,2013-04-10,Drame,94,Emin Alper,Emin Alper,"Tamer Levent, Reha Özcan, Mehmet Özgür",Turquie,Memento Distribution,3 925,"3,5","2,8",122120,0.0,Spring
shijie,2005-06-08,Drame,143,Jia Zhangke,Jia Zhangke,"Zhao Tao, Chen Taisheng, Jing Jue",Japon,Ad Vitam,16 223,"4,1","3,3",11540,0.0,Summer
lady jane,2008-04-09,Policier,102,Robert Guédiguian,"Robert Guédiguian, Jean-Louis Milesi","Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan",France,Diaphana Films,74 436,"3,4","2,2",59169,8500000.0,Spring
motherhood,2009-12-02,Comédie,90,Katherine Dieckmann,Katherine Dieckmann,"Uma Thurman, Minnie Driver, Anthony Edwards",U.S.A.,CTV International,154,"1,6",--,5913,5000000.0,Winter
la prima cosa bella,2011-06-29,"Comédie, Drame",111,Paolo Virzì,"Paolo Virzì, Francesco Bruni","Micaela Ramazzotti, Stefania Sandrelli, Valerio Mastandrea",Italie,Wild Bunch Distribution,12 652,"3,0","3,3",368631,0.0,Summer
nudo mixteco,2021-12-08,Drame,91,Ángeles Cruz,Ángeles Cruz,"Sonia Couoh, Noé Hernandez, Myriam Bravo",Mexique,Bobine Films,69,"3,4","3,1",1501,0.0,Winter
unga astrid,2019-05-08,"Biopic, Drame",123,Pernille Fischer Christensen,"Pernille Fischer Christensen, Kim Fupz Aakeson","Alba August, Maria Bonnevie, Trine Dyrholm",Danemark,ARP Sélection,15 437,"3,2","4,0",155229,0.0,Spring
"you, me and dupree",2006-11-08,Comédie,109,Anthony Russo,"Joe Russo, Mike LeSieur","Owen Wilson, Kate Hudson, Matt Dillon",U.S.A.,United International Pictures (UIP),49 993,"1,9","2,0",73983,54000000.0,Autumn
cabaret paradis,2006-04-12,Comédie,98,Gilles Benizio,"Corinne Benizio, Gilles Benizio, Corinne Benizio","Corinne Benizio, Gilles Benizio, Michel Vuillermoz",France,Pyramide Distribution,105 666,"2,6","1,3",55149,0.0,Spring
norm of the north,2016-12-21,"Animation, Aventure, Comédie",90,Trevor Wall,"Malcolm T. Goldman, Steve Altiere","Omar Sy, Rob Schneider, Med Hondo",U.S.A.,La Belle Company,259 795,"2,1","1,9",395920,7000000.0,Winter
après le sud,2011-10-12,Drame,92,Jean-Jacques Jauffret,Jean-Jacques Jauffret,"Adèle Haenel, Sylvie Lachat, Ulysse Grosjean",France,Jour2fête,4 209,"3,3","2,7",193373,0.0,Autumn
lucky numbers,2001-08-01,"Comédie, Policier",105,Nora Ephron,Adam Resnick,"John Travolta, Lisa Kudrow, Tim Roth",U.S.A.,Mars Distribution,30 543,"2,8","2,0",3501,65000000.0,Summer
conversations with other women,2006-06-07,"Comédie dramatique, Romance",85,Hans Canosa,Gabrielle Zevin,"Aaron Eckhart, Helena Bonham Carter, Brianna Brown",U.S.A.,MK2 Diffusion,24 091,"3,6","3,4",51608,450000.0,Summer
sophia antipolis,2018-10-31,Drame,98,Virgil Vernier,Virgil Vernier,"Dewi Kunetz, Hugues Njiba-Mukuna, Sandra Poitoux",France,Shellac,2 828,"3,7","2,7",51511,0.0,Autumn
krotkaya,2017-08-16,Drame,143,Sergei Loznitsa,Sergei Loznitsa,"Vasilina Makovtseva, Valeriu Andriutã, Sergey Kolesov",Russie,Haut et Court,17 512,"3,0","2,7",215457,0.0,Summer
ultimatum,2009-09-30,"Drame, Romance",101,Alain Tasma,Valérie Zenatti,"Gaspard Ulliel, Jasmine Trinca, Michel Boujenah",France,Mars Films,5 934,"2,5","1,7",81502,0.0,Autumn
tu vas rire mais je te quitte,2005-01-05,Comédie,97,Philippe Harel,"Philippe Harel, Eric Assous","Judith Godrèche, Sagamore Stévenin, Ariane Seguillon",France,Rezo Films,119 694,"2,9","1,6",64069,0.0,Winter
allez raconte !,2010-10-20,Animation,77,Jean-Christophe Roger (II),Jean-Christophe Roger (II),"Eric Métayer, Elie Semoun, Fred Testot",France,Gebeka Films,10 502,"2,8","3,4",132472,0.0,Autumn
les papas du dimanche,2012-01-25,Comédie dramatique,86,Louis Becker,"Olivier Torres, Louis Becker","Thierry Neuvic, Hélène Fillières, Olivier Baroux",France,Pathé,43 765,"2,0","2,9",629140,0.0,Winter
rebirth,2012-06-13,"Action, Arts Martiaux",80,Jean-Marc Minéo,Jean-Marc Minéo,"Jon Foo, Caroline Ducey, Michaël Cohen",France,KapFilms,6 989,"3,0","2,3",177956,0.0,Summer
des plans sur la comète,2017-06-21,Comédie dramatique,93,Guilhem Amesland,Guilhem Amesland,"Vincent Macaigne, Philippe Rebbot, Suzanne Clément",France,Jour2fête,3 402,"2,3","2,5",102034,0.0,Summer
los bastardos,2009-01-28,"Drame, Thriller",90,Amat Escalante,"Amat Escalante, Martin Escalante","Jesús Moisés Rodriguez, Rubén Sosa, Nina Zavarin",Mexique,Le Pacte,8 104,"2,8","1,4",245324,0.0,Winter
backstage,2005-11-16,"Drame, Musical",115,Emmanuelle Bercot,"Jérôme Tonnerre, Emmanuelle Bercot","Emmanuelle Seigner, Isild Le Besco, Noémie Lvovsky",France,Haut et Court,26 068,"3,7","2,5",68062,0.0,Autumn
i want your love,2013-05-01,Drame,71,Travis Mathews,Travis Mathews,"Jesse Metzger, Brontez Purnell, Keith McDonald",U.S.A.,KMBO,1 506,"2,6","2,3",143030,0.0,Spring
mot naturen,2015-09-09,"Drame, Comédie",80,Marte Vold,"Ole Giæver, Ole Giæver","Ole Giæver, Marte Magnusdotter Solem, Sivert Giæver Solem",Norvège,Epicentre Films,4 429,"3,5","3,2",52302,950000.0,Autumn
l'homme qui a surpris tout le monde,2019-03-20,Drame,104,Natalya Merkulova,Aleksey Chupov,"Evgeniy Tsyganov, Natalya Kudryashova, Vasiliy Popov",Russie,JHR Films,2 239,"3,3","3,3",11437,0.0,Spring
mortel transfert,2001-01-10,"Comédie dramatique, Policier",122,Jean-Jacques Beineix,Jean-Jacques Beineix,"Jean-Hugues Anglade, Hélène de Fougerolles, Predrag 'Miki' Manojlovic",France,UFD,38 543,"2,7","2,5",3163,0.0,Winter
ostatnia rodzina,2018-01-17,Drame,123,Jan P. Matuszynski,Robert Bolesto,"Andrzej Seweryn, Dawid Ogrodnik, Aleksandra Konieczna",Pologne,Potemkine Films,1 710,"3,1","3,3",15987,0.0,Winter
de usynlige,2009-12-23,Drame,115,Erik Poppe,"Erik Poppe, Finn Gjerdrum","Pål Sverre Valheim Hagen, Trine Dyrholm, Ellen Dorrit Petersen",Norvège,Jour2fête,3 066,"3,0","3,9",31844,0.0,Winter
sin señas particulares,2021-09-22,Drame,95,Fernanda Valadez,"Astrid Rondero, Fernanda Valadez","Mercedes Hernández, David Illescas, Juan Jesús Varela",Mexique,Bodega Films,2 754,"3,5","3,5",4702,0.0,Autumn
route irish,2011-03-16,"Drame, Thriller, Action",109,Ken Loach,Paul Laverty,"Mark Womack, Andrea Lowe, John Bishop (IV)",Belgique,Diaphana Distribution,33 146,"2,9","2,9",453288,0.0,Spring
the reports on sarah and saleem,2019-05-08,"Drame, Romance, Judiciaire",127,Muayad Alayan,Rami Musa Alayan,"Maisa Abd Elhadi, Adeeb Safadi, Sivane Kretchner",Palestine,Bodega Films,4 730,"3,4","3,9",12233,0.0,Spring
lutine,2018-04-04,Comédie,97,Isabelle Broué,Isabelle Broué,"Isabelle Broué, Mathieu Bisson, Philippe Rebbot",France,Lutine & Cie,189,"4,0",--,13780,0.0,Spring
gamines,2009-12-16,Comédie dramatique,107,Eleonore Faucher,Eleonore Faucher,"Amira Casar, Sylvie Testud, Jean-Pierre Martins",France,UGC Distribution,39 147,"3,6","2,8",168274,0.0,Winter
la femme invisible,2009-07-22,"Comédie, Fantastique",90,Agathe Teyssier,"Agathe Teyssier, Cécile Vargaftig","Julie Depardieu, Charlotte Rampling, Micheline Dax",France,Shellac,4 703,"2,9","2,2",149494,0.0,Summer
lola versus,2012-11-28,Comédie,87,Daryl Wein,"Zoe Lister-Jones, Daryl Wein","Greta Gerwig, Joel Kinnaman, Bill Pullman",U.S.A.,Twentieth Century Fox France,214,"3,3","2,4",19918,0.0,Autumn
paradise now,2005-09-07,Drame,87,Hany Abu-Assad,"Hany Abu-Assad, Bero Beyer","Lubna Azabal, Hiam Abbass, Kais Nashef",Allemagne,Haut et Court,30 175,"3,7","3,2",28167,2000000.0,Autumn
sameblod,2018-11-14,Drame,113,Amanda Kernell,Amanda Kernell,"Lene Cecilia Sparrok, Hanna Alström, Mia Erika Sparrok",Suède,Bodega Films,8 249,"3,3","3,9",16386,0.0,Autumn
"et toi, t'es sur qui ?",2007-06-13,Comédie,90,Lola Doillon,Lola Doillon,"Lucie Desclozeaux, Christa Théret, Gaël Tavares",France,Rezo Films,34 191,"3,8","2,0",175118,1750000.0,Summer
country strong,2011-05-04,"Drame, Biopic, Musical",112,Shana Feste,Shana Feste,"Gwyneth Paltrow, Tim McGraw, Garrett Hedlund",U.S.A.,Sony Pictures Releasing France,2 550,"1,3","3,4",293024,15000000.0,Spring
par amour,2012-12-26,"Comédie, Romance",115,Laurent Firode,Laurent Firode,"Valérie Mairesse, Valerie Vogt, Frederic Bouraly",France,Noblesse Oblige Distribution,4 055,"2,0","2,9",30605,0.0,Winter
magique,2008-10-22,"Comédie dramatique, Musical, Romance",91,Philippe Muyl,Philippe Muyl,"Marie Gillain,  Cali, Antoine Duléry",France,Paramount Pictures France,76 759,"1,7","1,7",201531,0.0,Autumn
le sentiment de la chair,2010-12-29,Drame,91,Roberto Garzelli,Roberto Garzelli,"Annabelle Hettmann, Thibault Vinçon, Claudia Tagbo",France,Zelig Films Distribution,1 180,"3,3","1,9",177554,0.0,Winter
made in bangladesh,2019-12-04,Drame,95,Rubaiyat Hossain,"Rubaiyat Hossain, Philippe Barrière","Rikita Shimu, Novera Rahman, Parvin Paru",Autres,Pyramide Distribution,10 897,"3,4","3,5",191851,0.0,Winter
yeo-haeng-ja,2010-01-06,Drame,92,Ounie Lecomte,Ounie Lecomte,"Kim Saeron, Park Doyeon, Park Myeong-Shin",France,Diaphana Films,16 820,"3,7","3,8",66991,0.0,Winter
mary,2005-12-21,"Drame, Thriller",85,Abel Ferrara,"Abel Ferrara, Simone Lageoles","Juliette Binoche, Forest Whitaker, Heather Graham",France,Pan Européenne Edition,24 534,"3,7","2,1",37192,0.0,Winter
calendar girls,2003-12-31,Comédie,108,Nigel Cole,"Juliette Towhidi, Tim Firth","Helen Mirren, Julie Walters, John Alderton",U.S.A.,Gaumont Buena Vista International (GBVI),102 919,"3,1","3,0",9413,10000000.0,Winter
je suis un no man's land,2011-01-26,Comédie,92,Thierry Jousse,"Thierry Jousse, Jérôme Larcher","Philippe Katerine, Julie Depardieu, Aurore Clément",France,Dulac Distribution,12 389,"3,0","1,7",357986,0.0,Winter
dopo la guerra,2018-03-21,Drame,92,Annarita Zambrano,"Annarita Zambrano, Delphine Agut","Giuseppe Battiston, Charlotte Cétaire, Barbora Bobulova",France,Pyramide Distribution,10 172,"3,0","3,0",274196,0.0,Spring
el empleado y el patron,2022-04-06,"Drame, Thriller",106,Manuel Nieto Zas,Manuel Nieto Zas,"Nahuel Perez Biscayart, Cristian Borges, Justina Bustos",Uruguay,Eurozoom,5 472,"3,3","3,2",5129,0.0,Spring
slava,2017-04-19,Comédie dramatique,101,Kristina Grozeva,"Petar Valchanov, Kristina Grozeva, Petar Valchanov","Stefan Denolyubov, Margita Gosheva, Kitodar Todorov",Bulgarie,Urban Distribution,11 242,"3,6","3,8",153638,0.0,Spring
vive la crise !,2017-05-10,Comédie,92,Jean-François Davy,Jean-François Davy,"Jean-Claude Dreyfus, Jean-Marie Bigard, Lola Marois Bigard",France,KapFilms,10 349,"2,7","1,6",212624,0.0,Spring
le cancre,2016-10-05,"Drame, Romance",116,Paul Vecchiali,"Paul Vecchiali, Noël Simsolo","Pascal Cervo, Paul Vecchiali, Catherine Deneuve",France,Shellac,4 218,"3,3","2,3",12835,0.0,Autumn
le temps des porte-plumes,2006-03-08,Comédie dramatique,94,Daniel Duval,"Daniel Duval, Elie Meirovitz","Jean-Paul Rouve, Anne Brochet, Denis Podalydès",France,TFM Distribution,168 528,"2,8","2,2",87237,0.0,Spring
þrestir,2016-07-13,Drame,99,Rúnar Rúnarsson,Rúnar Rúnarsson,"Atli Oskar Fjalarsson, Ingvar Sigurðsson, Nanna Kristín Magnúsdóttir",Islande,ASC Distribution,4 150,"3,7","3,3",18804,0.0,Summer
wela,2022-05-04,Drame,118,Jakrawal Nilthamrong,Jakrawal Nilthamrong,"Thaveeratana Leelanuja, Prapamonton Eiamchan, Sorabodee Changsiri",Thaïlande,Damned Distribution,250,"3,1","3,5",32423,0.0,Spring
gimme shelter,2014-10-29,Drame,101,Ron Krauss,Ron Krauss,"Vanessa Hudgens, Rosario Dawson, Brendan Fraser",U.S.A.,LFR Films,48,"1,2","2,9",28151,7500000.0,Autumn
l'apprenti père noël et le flocon magique,2013-11-20,Animation,79,Luc Vinciguerra,"Alexandre Révérend, Luc Vinciguerra","Nathan Simony, Benoît Allemane, Vincent Grass",France,Gaumont Distribution,112 905,"3,0","3,4",444720,10000000.0,Autumn
rabiye kurnaz gegen george w. bush,2022-12-21,"Drame, Biopic",119,Andreas Dresen,Laila Stieler,"Meltem Kaptan, Alexander Scheer, Charly Hübner",Allemagne,Shellac,412,"2,8","2,8",1283,0.0,Winter
"zaïna, cavalière de l'atlas",2005-10-26,"Aventure, Drame",100,Bourlem Guerdjou,"Bourlem Guerdjou, Juliette Sales","Aziza Nadir, Sami Bouajila, Simon Abkarian",France,Rezo Films,60 726,"3,2","2,8",33205,4000000.0,Autumn
l'autre,2020-01-08,Drame,77,Charlotte Dauphin,Charlotte Dauphin,"Astrid Bergès-Frisbey, Anouk Grinberg, James Thiérrée",France,Dean Medias,477,"1,9","1,9",78446,0.0,Winter
tlamess,2020-02-19,Drame,120,Ala Eddine Slim,Ala Eddine Slim,"Abdullah Miniawy, Souhir Ben Amara, Khaled Ben Aissa",Tunisie,Potemkine Films,828,"3,5","2,9",80355,0.0,Winter
okul tıraşı,2022-06-08,Drame,85,Ferit Karahan,"Ferit Karahan, Gülistan Acet","Samet Yıldız, Ekin Koç, Mahir İpek",Turquie,Moonlight Films Distribution,926,"3,4","3,6",34499,0.0,Summer
"family romance, llc",2020-08-19,Drame,89,Werner Herzog,Werner Herzog,"Ishii Yuichi, Mahiro Tanimoto",U.S.A.,Nour Films,6 467,"3,4","3,1",58371,0.0,Summer
abrir puertas y ventanas,2012-01-20,"Drame, Comédie",98,Milagros Mumenthaler,Milagros Mumenthaler,"María Canale, Martina Juncadella, Ailín Salas",Suisse,Happiness Distribution,4 005,"3,1","2,3",89970,0.0,Winter
kill your friends,2015-12-02,"Thriller, Comédie",108,Owen Harris,John Niven,"Nicholas Hoult, Ed Skrein, James Corden",Grande-Bretagne,Chrysalis Films,11 400,"3,2","3,2",69696,0.0,Winter
douze mille,2020-01-15,Drame,111,Nadège Trebal,Nadège Trebal,"Arieh Worthalter, Nadège Trebal, Liv Henneguier",France,Shellac,1 375,"3,2","2,4",62286,0.0,Winter
última parada 174,2009-07-22,"Drame, Thriller",108,Bruno Barreto,Braulio Mantovani,"Silvio Orlando, Michel Gomes, Chris Vianna",Brésil,Océan Films,1 567,"3,1","3,8",26172,4700002.0,Summer
ploey - you never fly alone,2018-07-11,"Animation, Famille",83,Árni Ólafur Ásgeirsson,Friðrik Erlingsson,"Jamie Oram, Harriet Perring, Iain Stuart Robertson",Islande,Océan Films,54 586,"3,3","3,0",92872,0.0,Summer
vuelven,2019-07-24,"Thriller, Fantastique",84,Issa Lopez,Issa Lopez,"Paola Lara, Juan Ramon Lopez, Ianis Guerrero",Mexique,Karmafilms Distribution,66,"2,7","3,2",14112,0.0,Summer
ulysse & mona,2019-01-30,Drame,82,Sébastien Betbeder,Sébastien Betbeder,"Manal Issa, Eric Cantona, Mathis Romani",France,Dulac Distribution,4 206,"3,1","3,0",148118,0.0,Winter
home,2017-09-13,Drame,103,Fien Troch,"Fien Troch, Nico Leunen","Sebastian Van Dun, Loïc Bellemans, Lena Suijkerbuijk",Belgique,JHR Films,1 139,"3,2","3,2",10809,135000000.0,Autumn
frontières,2018-05-23,Drame,90,Apolline Traoré,Apolline Traoré,"Amélie Mbaye, Naky Sy Savane",Autres,Hévadis Films,670,"2,8","2,5",5248,3000000.0,Spring
the great ghost rescue,2012-04-04,"Fantastique, Comédie",99,Yann Samuell,David Solomons,"Toby Hall, Emma Fielding, Georgia Groome",Grande-Bretagne,Luminor (CTV),50,"1,8",--,8915,0.0,Spring
litigante,2020-02-19,Drame,95,Franco Lolli (II),"Franco Lolli (II), Marie Amachoukeli","Carolina Sanín, Leticia Gómez, Antonio Martínez",Colombie,Ad Vitam,12 790,"3,5","3,8",34073,0.0,Winter
das fremde in mir,2010-11-17,Drame,99,Emily Atef,"Emily Atef, Esther Bernstorff","Susanne Wolff, Johann von Bülow, Maren Kroymann",Allemagne,Jour2fête,884,"3,2","3,0",170691,500000.0,Autumn
sur la planche,2012-02-01,Drame,106,Leïla Kilani,"Leïla Kilani, Hafed Benotman","Soufia Issami, Mouna Bahmad, Nouzha Akel",France,Epicentre Films,9 506,"3,9","2,8",76263,0.0,Winter
féminin plurielles,2018-03-07,Comédie dramatique,82,Sébastien Bailly,Sébastien Bailly,"Hafsia Herzi, Lise Bellynck, Anne Steffens",France,La Mer à Boire Productions,435,"3,1","2,6",30732,0.0,Spring
lou andreas-salomé,2017-05-31,"Drame, Historique, Biopic",113,Cordula Kablitz-Post,"Susanne Hertel, Cordula Kablitz-Post","Katharina Lorenz, Nicole Heesters, Liv Lisa Fries",Allemagne,Bodega Films,15 217,"2,9","3,0",28052,0.0,Spring
tête baissée,2015-10-14,"Drame, Thriller",104,Kamen Kalev,"Kamen Kalev, Emmanuel Courcol","Melvil Poupaud, Seher Nebieva, Lidia Koleva",Bulgarie,Le Pacte,2 117,"2,6","3,4",12358,0.0,Autumn
the children of huang shi,2008-06-11,"Historique, Drame",114,Roger Spottiswoode,"Jane Hawksley, James MacManus","Jonathan Rhys-Meyers, Michelle Yeoh, Radha Mitchell",U.S.A.,Metropolitan FilmExport,30 753,"2,5","3,5",81615,40000000.0,Summer
poursuite,2011-03-09,Drame,92,Marina Déak,Marina Déak,"Marina Déak, Yann Guillemot, Renaud Dehesdin",France,Contre-Allée Distribution,1 114,"3,2","2,2",29945,0.0,Spring
heimatland,2016-12-14,Drame,100,Lisa Blatter,"Jan Gassmann, Benny Jaberg, Lisa Blatter, Gregor Frei","Peter Jecklin, Dashmir Ristemi, Julia Glaus",Suisse,KapFilms,174,"2,6","2,8",18813,0.0,Winter
shiva,2008-07-02,"Drame, Romance",108,Ronit Elkabetz,"Shlomi Elkabetz, Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Moshe Ivgy, Yaël Abecassis",France,Les Films du Losange,28 368,"3,8","3,1",56550,0.0,Summer
give me liberty,2019-07-24,Comédie,111,Kirill Mikhanovsky,"Kirill Mikhanovsky, Alice Austen","Chris Galust, Lauren 'Lolo' Spencer, Maxim Stoyanov",U.S.A.,Wild Bunch Distribution,11 267,"3,6","3,4",224532,0.0,Summer
lili rose,2014-10-22,"Comédie dramatique, Romance",90,Ballouard Bruno,Ballouard Bruno,"Salomé Stévenin, Mehdi Dehbi, Bruno Clairefond",France,Zelig Films Distribution,3 344,"2,8","3,2",28260,0.0,Autumn
theeb,2016-11-23,"Aventure, Drame",100,Naji Abu Nowar,"Naji Abu Nowar, Bassel Ghandour","Jacir Eid, Hassan Mutlag, Hussein Salameh",Autres,Jour2fête,5 625,"3,8","4,0",123847,0.0,Autumn
mes frères,2018-07-04,Drame,104,Bertrand Guerry,Sophie Davout,"David Arribe, Thomas Guerry, Sacha Guerry",France,Mitiki,7 188,"2,7","3,6",114914,0.0,Summer
mon amie victoria,2014-12-31,Drame,95,Jean Paul Civeyrac,Jean Paul Civeyrac,"Guslagie Malanda, Pierre Andrau, Nadia Moussa",France,Les Films du Losange,23 428,"3,4","2,5",163422,0.0,Winter
tao jie,2013-05-08,Comédie dramatique,123,Ann Hui,"Susan Chan, Roger Lee","Andy Lau, Deannie Yip, Quin Hailu",Hong-Kong,Les Acacias,12 263,"3,8","4,0",33062,0.0,Spring
henry,2010-03-31,Comédie,86,Kafka,Pascal Rémy," Kafka, Elise Larnicol, Bruno Ricci",France,Shellac,3 752,"1,9","2,4",44406,0.0,Spring
avant qu'il ne soit trop tard,2005-05-04,Comédie,84,Laurent Dussaux,Alain Layrac,"Frédéric Diefenthal, Emilie Dequenne, Olivier Sitruk",France,Mars Distribution,60 406,"2,6","2,2",30228,0.0,Spring
the mill and the cross,2011-12-28,"Drame, Historique",92,Lech Majewski,"Lech Majewski, Michael Francis Gibson","Rutger Hauer, Charlotte Rampling, Michael York",Pologne,Dulac Distribution,22 606,"3,2","2,7",317915,0.0,Winter
hyde park on hudson,2013-02-27,"Drame, Romance, Comédie",95,Roger Michell,Richard Nelson,"Bill Murray, Laura Linney, Samuel West",Grande-Bretagne,Diaphana Distribution,82 306,"2,8","2,4",400545,0.0,Winter
gente de bien,2015-03-18,Drame,87,Franco Lolli (II),"Franco Lolli (II), Catherine Paillé","Brayan Santamaria, Carlos Fernando Perez, Alejandra Borrero",Colombie,Ad Vitam,20 140,"3,8","3,3",55856,0.0,Spring
dans tes bras,2009-07-01,Drame,83,Hubert Gillet,"Hubert Gillet, Anna da Palma","Michèle Laroque, Martin Loizillon, Lola Naymark",France,Haut et Court,7 425,"2,9","2,5",60330,0.0,Summer
the conspiracy,2013-09-18,"Thriller, Epouvante-horreur",83,Christopher MacBride,Christopher MacBride,"Aaron Poole, James Gilbert, Ian Anderson",Canada,Ouranos Films,208,"3,0","2,9",23414,1500000.0,Autumn
tu seras un homme,2013-05-15,Comédie,87,Benoît Cohen,"Eléonore Pourriat, Jules Sagot","Aurelio Cohen, Jules Sagot, Eléonore Pourriat",France,Zelig Films Distribution,3 910,"2,8","3,5",24764,0.0,Spring
fido,2007-08-01,"Comédie, Epouvante-horreur",91,Andrew Currie,"Andrew Currie, Robert Chomiak","Carrie-Anne Moss, Billy Connolly, Dylan Baker",Canada,Metropolitan FilmExport,15 238,"3,2","2,4",119749,8000000.0,Summer
let my people go!,2011-12-28,Comédie,88,Mikael Buch,"Mikael Buch, Christophe Honoré","Nicolas Maury, Carmen Maura, Jean-François Stévenin",France,Les Films du Losange,17 312,"2,5","2,4",519820,0.0,Winter
charlie's country,2014-12-17,Drame,108,Rolf De Heer,"Rolf De Heer, David Gulpilil","David Gulpilil, Peter Djigirr, Luke Ford",Australie,Nour Films,11 273,"3,7","3,7",187464,0.0,Winter
win win,2011-08-31,"Comédie, Drame",106,Tom McCarthy,"Tom McCarthy, Joe Tiboni","Paul Giamatti, Amy Ryan, Bobby Cannavale",U.S.A.,Twentieth Century Fox France,7 534,"3,0","3,2",228899,6000000.0,Summer
papa was not a rolling stone,2014-10-08,Comédie dramatique,99,Sylvie Ohayon,"Sylvie Ohayon, Sylvie Verheyde","Doria Achour, Aure Atika, Marc Lavoine",France,Pathé,51 667,"2,9","2,8",395538,0.0,Autumn
sleeping giant,2016-02-17,"Aventure, Drame",89,Andrew Cividino,"Andrew Cividino, Aaron Yeger","Jackson Martin, Reece Moffett, Nick Serino",Canada,KMBO,2 301,"3,2","3,3",109630,0.0,Winter
des filles en noir,2010-11-03,Drame,85,Jean Paul Civeyrac,Jean Paul Civeyrac,"Léa Tissier, Elise Lhomeau, Elise Caron",France,Les Films du Losange,8 238,"3,0","2,1",93239,0.0,Autumn
madangeul naon amtak,2012-10-31,"Animation, Aventure",93,Oh Seongyun,"Kim Eunjung, Na Hyun","Sori Moon, Yoo Seung-ho, Min-sik Choi",Corée du Sud,Cinéma Public Films,4 876,"2,7","3,4",653,0.0,Autumn
ajami,2010-04-07,Drame,118,Scandar Copti,"Yaron Shani, Scandar Copti, Yaron Shani","Fouad Habash, Shakir Kabaha, Ibrahim Frege",Israël,Ad Vitam,51 324,"4,2","3,6",133524,1000000.0,Spring
qui m'aime me suive,2006-07-05,Comédie,100,Benoît Cohen,"Benoît Cohen, Eléonore Pourriat","Mathieu Demy, Eléonore Pourriat, Julie Depardieu",France,Pyramide Distribution,44 435,"3,1","2,2",56763,0.0,Summer
zim and co.,2005-08-17,Comédie,90,Pierre Jolivet,"Pierre Jolivet, Simon Michaël","Adrien Jolivet, Mhamed Arezki, Yannick Nasso",France,Bac Films,57 265,"3,6","2,7",23729,0.0,Summer
the darkest,2019-11-27,Epouvante-horreur,67,Robin Entreinger,Guillaume Levil,"Valentin Bonhomme, Claire Suchet, Benjamin Robert",France,Seven Light,28,"1,5",--,7489,34000000.0,Autumn
la pièce - les derniers seront les premiers,2016-10-12,Comédie,88,Lamine Diakite,"Wadi Laadam, Lamine Diakite","Thiébaut Viel, Fahmi Guerbâa, Dawala Badiri Diakite",France,Sony Pictures Releasing France,30 009,"2,1",--,86980,0.0,Autumn
fortuna,2018-09-19,Drame,102,Germinal Roaux,Germinal Roaux,"Kidist Siyum Beza, Bruno Ganz, Patrick d'Assumçao",Suisse,Nour Films,14 234,"3,3","3,6",251664,0.0,Autumn
le coeur régulier,2016-03-30,Drame,95,Vanja D'Alcantara,Vanja D'Alcantara,"Isabelle Carré, Jun Kunimura, Niels Schneider",Belgique,Condor Distribution,26 599,"2,9","3,0",194465,0.0,Spring
violeta se fue a los cielos,2012-11-28,Biopic,110,Andrés Wood,"Andrés Wood, Eliseo Altunaga","Francisca Gavilán, Christian Quevedo, Thomas Durand",Argentine,Margo Cinema,8 974,"3,3","3,8",175697,0.0,Autumn
"2 temps, 3 mouvements",2015-01-28,Drame,85,Christophe Cousin,Christophe Cousin,"Zacharie Chasseriaud, Antoine L'Ecuyer, Aure Atika",France,A3 Distribution,648,"2,4","2,3",46145,0.0,Winter
lebanon,2010-02-03,"Drame, Guerre",92,Samuel Maoz,Samuel Maoz,"Yoav Donat, Itay Tiran, Oshri Cohen",France,CTV International,23 952,"3,9","3,1",116185,0.0,Winter
entre deux trains,2021-11-10,Drame,74,Pierre Filmon,Pierre Filmon,"Laëtitia Eïdo, Pierre Rochefort, Ronald Guttman",France,Almano Films,577,"2,8","3,2",10506,60000.0,Autumn
la vie de château,2017-08-09,Comédie dramatique,82,Modi Barry,"Cédric Ido, Modi Barry, Cédric Ido","Jacky Ido, Tatiana Rojo, Jean-Baptiste Anoumon",France,Happiness Distribution,3 883,"2,8","3,0",33254,0.0,Summer
