title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Les Démons,14 septembre 2016,Drame,1h 58min,Philippe Lesage,Philippe Lesage,"Édouard Tremblay-Grenier, Pier-Luc Funk, Yannick Gobeil-Dugas","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Canada,Paname Distribution,Box Office France,1488,"3,2","2,7",32408
Ma bonne étoile,11 juillet 2012,"Drame, Comédie",1h 36min,Anne Fassio,"Régis Anders, Jean Falculete","Christopher Lambert, Claude Brasseur, Fleur Lise Heuet",,France,StudioCanal,Box Office France,72911,"2,3","3,6",740802
Arthur,11 mai 2011,Comédie,1h 50min,Jason Winer,"Russell Brand, Peter Baynham","Russell Brand, Jennifer Garner, Helen Mirren",,U.S.A.,2 nominations,Box Office US,12222756,"2,4",--,26055
Underdog,,"Comédie, Aventure, Famille, Action",1h 18min,Frederik Du Chau,"Joe Piscatella, Adam Rifkin","Jason Lee, James Belushi, Peter Dinklage",à partir de 8 ans (children's film),U.S.A.,,Box Office US,11585121,"2,5",--,41292
A Crime,11 octobre 2006,Thriller,1h 42min,Manuel Pradal,"Manuel Pradal, Tonino Benacquista","Emmanuelle Béart, Harvey Keitel, Norman Reedus",,U.S.A.,ARP Sélection,Box Office France,48442,"3,3","1,8",96147
Nobel Son,,"Comédie dramatique, Judiciaire",1h 50min,Randall Miller,"Jody Savin, Randall Miller","Alan Rickman, Bryan Greenberg, Shawn Hatosy",,U.S.A.,,Box Office US,333912,"2,7",--,2148
Ek Tha Tiger,17 août 2012,"Action, Romance, Thriller",2h 12min,Kabir Khan,"Kabir Khan, Neelesh Misra","Salman Khan, Katrina Kaif, Girish Karnad",,Inde,,Box Office US,1139340,"3,4",--,22333
The Sapphires,8 août 2012,"Comédie, Drame, Comédie musicale",1h 43min,Harvey Weinstein,"Wayne Blair, Keith Thompson, Tony Briggs","Chris O'Dowd, Deborah Mailman, Jessica Mauboy",,Australie,Diaphana Distribution,Box Office France,35786,"2,9","3,8",355847
The Strange Ones,11 juillet 2018,"Drame, Thriller",1h 21min,Christopher Radcliff,"Lauren Wolkstein, Christopher Radcliff, Lauren Wolkstein","Alex Pettyfer, James Freedson-Jackson, Emily Althaus",,U.S.A.,Epicentre Films,Box Office France,5035,"3,3","3,1",43611
En du elsker,21 janvier 2015,Drame,1h 35min,Pernille Fischer Christensen,"Pernille Fischer Christensen, Kim Fupz Aakeson","Mikael Persbrandt, Trine Dyrholm, Eve Best",,Danemark,Dulac Distribution,Box Office France,5204,"3,4","3,6",188421
Surviving Christmas,15 décembre 2004,"Comédie, Romance",1h 31min,Mike Mitchell (V),"Deborah Kaplan, Harry Elfont","Ben Affleck, Christina Applegate, James Gandolfini",,U.S.A.,Dreamworks Distribution LLC,Box Office US,4441356,"2,2","2,2",34652
Kibô no kuni,24 avril 2013,Drame,2h 13min,Sion Sono,Sion Sono,"Isao Natsuyagi, Naoko Ohtani, Jun Murakami",,Grande-Bretagne,Metropolitan FilmExport,Box Office France,5171,"3,4","3,5",124664
Un Bacio,26 avril 2017,Comédie dramatique,1h 44min,Ivan Cotroneo,"Ivan Cotroneo, Monica Rametta","Rimau Grillo Ritzberger, Valentina Romani, Leonardo Pazzagli",,Italie,Optimale Distribution,Box Office France,415,"2,9","4,0",12208
Blackbird,12 juin 2013,Drame,1h 43min,Jason Buxton,Jason Buxton,"Connor Jessup, Michael Buie, Alexia Fast",,Canada,ZED,Box Office France,7006,"3,7","3,9",220475
West,5 novembre 2014,Drame,1h 42min,Christian Schwochow,Heide Schwochow,"Jördis Triebel, Tristan Göbel, Alexander Scheer",,Allemagne,Dulac Distribution,Box Office France,25102,"3,3","3,3",179408
Zibilla ou la vie zébrée,,Animation,0h 49min,Martina Svojikova,"Marjolaine Perreten, Isabelle Favez, David Bredel, Pierre-Luc Granjon","Lily Demuynck-Deydier, Arthur Ponsot, Christian Leonard",à partir de 3 ans (children's film),France,Gebeka Films,Box Office France,6203,"3,2","2,4",13220
Me and you and everyone we know,21 septembre 2005,Comédie dramatique,1h 30min,Miranda July,Miranda July,"John Hawkes, Miranda July, Miles Thompson",,U.S.A.,MK2 Diffusion,Box Office France,50218,"4,1","3,1",38958
À tout de suite,8 décembre 2004,"Drame, Thriller",1h 35min,Benoit Jacquot,Benoit Jacquot,"Isild Le Besco, Ouassini Embarek, Nicolas Duvauchelle",,France,Pyramide Distribution,Box Office France,21743,"4,6","3,2",24803
The Time That Remains,12 août 2009,Comédie dramatique,1h 45min,Elia Suleiman,Elia Suleiman,"Saleh Bakri, Yasmine Haj, Leila Muammar",,France,Le Pacte,Box Office France,58297,"4,1","3,0",103999
Vita and Virginia,10 juillet 2019,"Biopic, Drame, Romance",1h 50min,Chanya Button,"Eileen Atkins, Chanya Button","Gemma Arterton, Elizabeth Debicki, Isabella Rossellini",,Grande-Bretagne,Pyramide Distribution,Box Office France,24893,"2,7","2,9",256935
Violeta se fue a los cielos,28 novembre 2012,Biopic,1h 50min,Andrés Wood,"Andrés Wood, Eliseo Altunaga","Francisca Gavilán, Christian Quevedo, Thomas Durand",,Argentine,Margo Cinema,Box Office France,8974,"3,3","3,8",175696
Donoma,23 novembre 2011,Comédie dramatique,2h 13min,Djinn Carrenard,Djinn Carrenard,"Emilia Derou-Bernal, Sékouba Doucouré, Salomé Blechmans",,France,Donoma Guerilla / Commune Image Media,Box Office France,5704,"3,9","3,7",138600
Extract,,Comédie,1h 32min,Mike Judge,Mike Judge,"Jason Bateman, Ben Affleck, Clifton Collins Jr.",,U.S.A.,,Box Office US,5513634,"2,2",--,35279
Léa,6 juillet 2011,Drame,1h 33min,Bruno Rolland,"Anne Azoulay, Jihane Chouaib","Anne Azoulay, Ginette Garcin, Eric Elmosnino",,France,Zelig Films Distribution,Box Office France,1069,"2,6","2,4",215043
Magnifica Presenza,31 juillet 2013,Comédie dramatique,1h 46min,Ferzan Özpetek,"Ferzan Özpetek, Federica Pontremoli","Elio Germano, Paola Minaccioni, Beppe Fiorello",,Italie,DistriB Films,Box Office France,4683,"3,2","3,3",16267
Horsehead,11 mars 2015,"Fantastique, Epouvante-horreur",1h 40min,Romain Basset,"Romain Basset, Karim Chériguène","Lilly-Fleur Pointeaux, Catriona MacColl, Murray Head",Interdit aux moins de 12 ans avec avertissement,France,Tanzi Distribution,Box Office France,311,"2,9","2,3",42819
La Clinique de l'amour !,27 juin 2012,Comédie,1h 23min,Artus de Penguern,"Artus de Penguern, Gabor Rassov","Bruno Salomone, Héléna Noguerra, Artus de Penguern",,France,Rezo Films,Box Office France,47212,"3,4","2,5",788865
The Nut Job 2: Nutty by Nature,25 octobre 2017,"Animation, Famille",1h 31min,Cal Brunker,"Scott Bindley, Peter Lepeniotis","Jeff Dunham, Joe Pingue, Will Arnett",à partir de 6 ans (children's film),U.S.A.,SND,Box Office France,385048,"3,1","3,2",446490
Weldi,14 novembre 2018,Drame,1h 44min,Mohamed Ben Attia,Mohamed Ben Attia,"Mohamed Dhrif, Mouna Mejri, Zakaria Ben Ayyed",,Tunisie,Bac Films,Box Office France,7539,"3,9","3,6",177647
Edie,18 septembre 2019,Drame,1h 42min,Simon Hunter,Elizabeth O'Halloran,"Sheila Hancock, Kevin Guthrie, Amy Manson",,Grande-Bretagne,Jupiter Films,Box Office France,1882,"2,2","3,7",78948
Inch'Allah,3 avril 2013,Drame,1h 41min,Anaïs Barbeau-Lavalette,Anaïs Barbeau-Lavalette,"Evelyne Brochu, Sabrina Ouazani, Sivan Levy","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Canada,Happiness Distribution,Box Office France,13262,"3,0","3,1",157564
Dans la tourmente,11 janvier 2012,"Policier, Thriller, Drame",1h 47min,Christophe Ruggia,Christophe Ruggia,"Clovis Cornillac, Mathilde Seigner, Yvan Attal",,France,Wild Bunch Distribution,Box Office France,62705,"3,0","2,1",490374
El Niño Pez,6 mai 2009,"Drame, Thriller, Romance",1h 36min,Lucia Puenzo,Lucia Puenzo,"Inés Efron, Mariela Vitale, Pep Munne",,Argentine,MK2 Diffusion,Box Office France,5261,"2,6","2,8",61890
The Sense of an Ending,4 avril 2018,Drame,1h 48min,Ritesh Batra,Nick Payne,"Jim Broadbent, Charlotte Rampling, Harriet Walter",,Grande-Bretagne,Wild Bunch Distribution,Box Office France,30993,"3,2","2,9",171731
"L'Equipe de secours, en route pour l'aventure !",5 février 2020,Animation,0h 44min,Janis Cimermanis,Maris Putnins,,à partir de 3 ans (children's film),Lettonie,Cinéma Public Films,Box Office France,2351,"3,1",--,19362
Battle in Seattle,7 mai 2008,"Drame, Action",1h 40min,Stuart Townsend,Stuart Townsend,"André Benjamin, Jennifer Carpenter, Isaach de Bankolé",,U.S.A.,Metropolitan FilmExport,Box Office France,37734,"2,8","3,3",145542
Alles ist gut,3 avril 2019,Drame,1h 30min,Eva Trobisch,Eva Trobisch,"Aenne Schwarz, Andreas Döhler, Hans Löw","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Allemagne,Wild Bunch Distribution,Box Office France,14004,"3,6","2,9",55934
Volubilis,19 septembre 2018,Drame,1h 46min,Faouzi Bensaïdi,Faouzi Bensaïdi,"Mouhcine Malzi, Nadia Kounda, Abdelhadi Talbi",,Maroc,ASC Distribution,Box Office France,740,"3,1","3,2",21588
Praia do Futuro,3 décembre 2014,Drame,1h 46min,Karim Aïnouz,"Felipe Bragança, Karim Aïnouz","Wagner Moura, Clemens Schick, Jesuíta Barbosa","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Brésil,Epicentre Films,Box Office France,2260,"2,7","2,4",13048
L'âge atomique,28 novembre 2012,Drame,1h 08min,Helena Klotz,Helena Klotz,"Elliott Paquet, Dominik Wojcik, Niels Schneider",,France,NiZ !,Box Office France,1355,"3,4","2,2",639855
Rengaine,14 novembre 2012,Comédie dramatique,1h 15min,Rachid Djaïdani,Rachid Djaïdani,"Slimane Dazi, Sabrina Hamida, Stephane Soo Mongo","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Haut et Court,Box Office France,45485,"4,0","2,8",572754
Mike,22 juin 2011,Comédie dramatique,1h 26min,Lars Blumers,Lars Blumers,"Marc-André Grondin, Christa Théret, Eric Elmosnino",,France,Diaphana Films,Box Office France,7018,"3,1","2,6",377551
Jimmy Rivière,9 mars 2011,Drame,1h 30min,Teddy Lussi-Modeste,"Rebecca Zlotowski, Teddy Lussi-Modeste","Guillaume Gouix, Béatrice Dalle, Hafsia Herzi",,France,Pyramide Distribution,Box Office France,9237,"3,1","2,3",184517
Stop Loss,,"Drame, Guerre",1h 52min,Kimberly Peirce,"Mark Richard, Kimberly Peirce","Ryan Phillippe, Channing Tatum, Rob Brown",,U.S.A.,1 prix et 2 nominations,Box Office US,4555117,"3,7",--,28433
Je veux voir,3 décembre 2008,Drame,1h 15min,Joana Hadjithomas,Khalil Joreige,"Catherine Deneuve, Rabih Mroué",,France,Shellac,Box Office France,214,"3,7","3,4",44565
L'Apprenti Père Noël et le flocon magique,20 novembre 2013,Animation,1h 19min,Luc Vinciguerra,"Alexandre Révérend, Luc Vinciguerra","Nathan Simony, Benoît Allemane, Vincent Grass",à partir de 6 ans (children's film),France,Gaumont Distribution,Box Office France,12851,"3,0","3,4",444717
Cravate club,3 juillet 2002,Comédie dramatique,1h 25min,Frédéric Jardin,"Jérôme Dassier, Frédéric Jardin","Charles Berling, Edouard Baer, Patrick Mille",,France,Rezo Films,Box Office France,77812,"2,7","2,3",4577
On-Gaku: Our Sound,19 mai 2021,"Animation, Drame",1h 11min,Kenji Iwaisawa,Kenji Iwaisawa,"Shintarô Sakamoto, Ren Komai, Tomoya Maeno",,Japon,Eurozoom,Box Office France,1007,"3,7","3,2",5211
Gangs of Wasseypur - Part 1,25 juillet 2012,"Action, Bollywood",2h 40min,Anurag Kashyap,"Anurag Kashyap, Akhilesh Jaiswal","Manoj Bajpai, Tigmanshu Dhulia, Piyush Mishra",,Inde,Happiness Distribution,Box Office France,5359,"4,1","3,5",51383
The perfect man,,Comédie,1h 36min,Mark Rosman,Gina Wendkos,"Hilary Duff, Heather Locklear, Chris Noth",,U.S.A.,1 nomination,Box Office US,5300980,"2,6",--,28361
Aragh-e Sard,28 novembre 2018,Drame,1h 28min,Soheil Beiraghi,Soheil Beiraghi,"Baran Kosari, Amir Jadidi, Sahar Dowlatshahi",,Iran,Dulac Distribution,Box Office France,13497,"3,4","3,7",235760
Tiens-toi droite,26 novembre 2014,Comédie,1h 34min,Katia Lewkowicz,Katia Lewkowicz,"Marina Foïs, Noémie Lvovsky, Laura Smet",,France,Wild Bunch Distribution,Box Office France,28243,"2,2","1,8",259797
Der Kleine Eisbär 2 - Die geheimnisvolle Insel,8 février 2006,"Animation, Famille",1h 15min,Piet De Rycker,"Thilo Graf Rothkirch, Thilo Rothkirch, Bert Schrickel, Piet De Rycker","Louis Lecordier, Laetitia Caruso, Xavier Viollet",à partir de 3 ans (children's film),Allemagne,1 nomination,Box Office France,42376,"3,8","3,0",33864
Callas Forever,18 septembre 2002,"Biopic, Drame",1h 50min,Franco Zeffirelli,"Martin Sherman, Franco Zeffirelli","Fanny Ardant, Jeremy Irons, Joan Plowright",,France,Bac Films,Box Office France,80449,"2,6","2,9",5071
Nil Battey Sannata,4 janvier 2017,Comédie dramatique,1h 36min,Ashwiny Iyer Tiwari,"Ashwiny Iyer Tiwari, Nitesh Tiwari","Swara Bhaskar, Ratna Pathak Shah, Riya Shukla",,Inde,KMBO,Box Office France,2498,"2,6","3,3",82210
Slava,19 avril 2017,Comédie dramatique,1h 41min,Kristina Grozeva,"Petar Valchanov, Kristina Grozeva, Petar Valchanov","Stefan Denolyubov, Margita Gosheva, Kitodar Todorov",,Bulgarie,Urban Distribution,Box Office France,11242,"3,6","3,8",153638
Balls of Fury,9 juillet 2008,"Comédie, Action",1h 30min,Robert Ben Garant,"Robert Ben Garant, Thomas Lennon","Christopher Walken, Dan Fogler, George Lopez",,U.S.A.,Metropolitan FilmExport,Box Office US,11352123,"2,1","1,9",64539
Marnies Welt,9 octobre 2019,"Animation, Famille",1h 25min,Christoph Lauenstein,"Wolfgang Lauenstein, Christoph Lauenstein, Wolfgang Lauenstein","Alexandra Neldel, Axel Prahl, Santiago Ziesmer",à partir de 6 ans (children's film),Allemagne,Septième Factory,Box Office France,21338,"3,0","2,6",608044
10 jours en or,11 janvier 2012,Comédie dramatique,1h 35min,Nicolas Brossette,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer",à partir de 10 ans (children's film),France,Metropolitan FilmExport,Box Office France,70663,"2,4","2,3",953538
9 Doigts,21 mars 2018,Thriller,1h 39min,Francois-Jacques Ossang,Francois-Jacques Ossang,"Paul Hamy, Damien Bonnard, Pascal Greggory",,France,Les Bookmakers / Capricci Films,Box Office France,1740,"3,2","2,4",23648
Notre paradis,28 septembre 2011,Drame,1h 40min,Gaël Morel,Gaël Morel,"Stéphane Rideau, Dimitri Durdaine, Béatrice Dalle",Interdit aux moins de 16 ans,France,Alfama Films,Box Office France,6021,"2,4","2,7",118443
Le Parc,4 janvier 2017,Comédie dramatique,1h 12min,Damien Manivel,"Damien Manivel, Isabel Pagliai","Naomie Vogt-Roby, Maxime Bachellerie, Sobere Sessouma",,France,Shellac,Box Office France,3378,"3,8","2,3",119743
La Nostra Vita,6 avril 2011,Drame,1h 38min,Daniele Luchetti,"Daniele Luchetti, Sandro Petraglia","Elio Germano, Raoul Bova, Isabella Ragonese",,France,Ad Vitam,Box Office France,25514,"3,0","2,9",263304
A Better Life,,Drame,1h 38min,Chris Weitz,"Eric Eason, Roger Simon","Demian Bichir, Eddie 'Piolin' Sotelo, Joaquín Cosío",,U.S.A.,4 nominations,Box Office US,314000,"3,7",--,4410
Un enfant de toi,26 décembre 2012,Comédie dramatique,2h 16min,Jacques Doillon,Jacques Doillon,"Lou Doillon, Samuel Benchetrit, Malik Zidi",,France,Dulac Distribution,Box Office France,11361,"2,9","1,3",260738
Blood and Chocolate,,"Epouvante-horreur, Fantastique, Romance",1h 38min,Katja von Garnier,"Ehren Kruger, Christopher Landon","Jack Wilson, Vitalie Ursu, John Kerr (IV)",,Roumanie,,Box Office US,2074300,"2,4",--,43726
Los Reyes Magos,8 décembre 2004,Animation,1h 15min,Antonio Navarro,"Juan Ignacio Peña, Jaunjo Ibañez","Stephen Hughes, Olivier Perrier, André Wims",à partir de 8 ans (children's film),France,Carrère Group,Box Office France,82325,"2,8","2,6",27207
Le plus beau jour de ma vie,5 janvier 2005,"Comédie, Romance",1h 44min,Julie Lipinski,"Julie Lipinski, Laurent Tirard","Hélène de Fougerolles, Jonathan Zaccaï, François Berléand",,France,SND,Box Office France,90013,"3,2","2,4",45006
Les Rois du monde,23 septembre 2015,Comédie dramatique,1h 40min,Laurent Laffargue,"Laurent Laffargue, Frédérique Moreau","Sergi López, Céline Sallette, Eric Cantona","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Jour2fête,Box Office France,9775,"2,1","2,4",141388
Insyriated,6 septembre 2017,Drame,1h 26min,Philippe Van Leeuw,Philippe Van Leeuw,"Hiam Abbass, Diamand Abou Abboud, Juliette Navis",Interdit aux moins de 12 ans,Belgique,KMBO,Box Office France,17832,"3,7","4,0",224665
Charlie's Country,17 décembre 2014,Drame,1h 48min,Rolf De Heer,"Rolf De Heer, David Gulpilil","David Gulpilil, Peter Djigirr, Luke Ford",,Australie,Nour Films,Box Office France,1989,"3,7","3,7",187463
My Life in Ruins,9 septembre 2009,Comédie,1h 30min,Donald Petrie,Mike Reiss,"Nia Vardalos, Richard Dreyfuss, Alexis Georgoulis",,U.S.A.,Twentieth Century Fox France,Box Office France,1494,"2,3",--,94702
Espíritu sagrado,6 juillet 2022,"Science fiction, Comédie, Drame",1h 37min,Chema Garcia Ibarra,Chema Garcia Ibarra,"Nacho Fernández, Llum Arques, Joanna Valverde",,Espagne,La Fabrica Nocturna Cinéma,Box Office France,774,"3,2","3,1",2484
Mila,13 avril 2022,"Comédie, Drame",1h 30min,Christos Nikou,"Christos Nikou, Stavros Raptis","Aris Servetalis, Sofia Georgovassili, Anna Kalaitzidou",,Grèce,Bodega Films,Box Office France,414,"2,9","3,3",3620
Il Poveri milionari,3 août 2016,Comédie,1h 35min,Dino Risi,"Pasquale Festa Campanile, Massimo Franciosa","Maurizio Arena, Renato Salvatori, Lorella De Luca",,Italie,Les Films du Camelia,Box Office France,2659,"3,1",--,
Down With Love,10 septembre 2003,"Comédie, Romance",1h 42min,Peyton Reed,"Dennis Drake, Eve Ahlert","Renée Zellweger, Ewan McGregor, Sarah Paulson",,U.S.A.,UFD,Box Office France,83263,"3,4","2,8",24697
Shahr - Eziba,11 juillet 2012,Drame,1h 41min,Asghar Farhadi,Asghar Farhadi,"Hossein Farzi Zadeh, Taraneh Alidoosti, Babak Ansari",,Iran,Memento Distribution,Box Office France,17633,"3,8","4,0",293439
About Last Night,,"Romance, Comédie",1h 40min,Steve Pink,Leslye Headland,"Kevin Hart, Michael Ealy, Regina Hall",,U.S.A.,,Box Office US,27000000,"2,8",--,35335
Va savoir,10 octobre 2001,"Comédie dramatique, Romance, Judiciaire",3h 40min,Jacques Rivette,"Pascal Bonitzer, Christine Laurent","Catherine Rouvel, Claude Berri, Attilio Cucari",,France,Les Films du Losange,Box Office France,83347,"4,5","3,6",3823
Cabaret Paradis,12 avril 2006,Comédie,1h 38min,Gilles Benizio,"Corinne Benizio, Gilles Benizio, Corinne Benizio","Corinne Benizio, Gilles Benizio, Michel Vuillermoz",,France,Pyramide Distribution,Box Office France,105666,"2,6","1,3",55147
I Don't Know How She Does It,21 septembre 2011,Comédie,1h 30min,Douglas McGrath,Aline Brosh McKenna,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear",,U.S.A.,SND,Box Office France,128970,"3,3","2,2",1176352
Visage,4 novembre 2009,Comédie dramatique,2h 21min,Tsai Ming-liang,Tsai Ming-liang,"Laetitia Casta, Fanny Ardant, Lee Kang-sheng",,France,Rezo Films,Box Office France,3487,"2,5","2,1",76913
Route Irish,16 mars 2011,"Drame, Thriller, Action",1h 49min,Ken Loach,Paul Laverty,"Mark Womack, Andrea Lowe, John Bishop (IV)","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Belgique,Diaphana Distribution,Box Office France,33146,"2,9","2,9",453287
Les temps qui changent,15 décembre 2004,"Drame, Romance",1h 30min,André Téchiné,"André Téchiné, Laurent Guyot","Catherine Deneuve, Gérard Depardieu, Gilbert Melki",,France,Gémini Films,Box Office France,163021,"4,0","2,6",33231
Les Filles du botaniste,26 avril 2006,Drame,1h 45min,Dai Sijie,"Dai Sijie, Nadine Perront","Mylène Jampanoï, Li Xiao Ran, Ling Dong Fu",,France,EuropaCorp Distribution,Box Office France,50488,"2,5","3,0",69566
The Divine Secrets of the Ya-Ya Sisterhood,9 octobre 2002,Drame,1h 51min,Callie Khouri,"Mark Andrus, Callie Khouri","Sandra Bullock, Ellen Burstyn, Ashley Judd",,U.S.A.,Warner Bros. France,Box Office US,16167412,"2,8","3,4",6244
Deux vies plus une,17 octobre 2007,Comédie dramatique,1h 30min,Idit Cebula,"Idit Cebula, Emmanuelle Michelet","Emmanuelle Devos, Gérard Darmon, Jocelyn Quivrin",,France,Rezo Films,Box Office France,57400,"2,8","1,9",88284
Fired Up !,,Comédie,1h 30min,Will Gluck,Freedom Jones,"Nicholas D'Agosto, Eric Christian Olsen, Sarah Roemer",,U.S.A.,,Box Office US,5483778,"3,1",--,22212
Recess: School's Out,11 juillet 2001,"Animation, Comédie, Famille",1h 23min,Chuck Sheetz,"Jonathan Greenberg, Eric Assous","Jason Davis (I), Andrew Lawrence, Arthur Pestel",à partir de 8 ans (children's film),U.S.A.,Gaumont Buena Vista International (GBVI),Box Office France,36498,"3,1","3,2",7461
Nancy Drew,,"Comédie, Policier, Famille",1h 39min,Andrew Fleming,"Andrew Fleming, Tiffany Paulsen","Emma Roberts, Rachael Leigh Cook, Max Thieriot",,U.S.A.,2 nominations,Box Office US,6832318,"3,0",--,2477
Faut que ça danse !,14 novembre 2007,Comédie dramatique,1h 40min,Noémie Lvovsky,"Noémie Lvovsky, Florence Seyvos","Jean-Pierre Marielle, Valeria Bruni Tedeschi, Sabine Azéma",,France,UGC,Box Office France,122819,"3,8","1,8",150499
L'Enfance du mal,12 mai 2010,"Drame, Thriller",1h 30min,Olivier Coussemacq,Olivier Coussemacq,"Anaïs Demoustier, Pascal Greggory, Ludmila Mikaël",,France,Zelig Films Distribution,Box Office France,12611,"3,1","2,5",52621
Pur week-end,1 mai 2007,Comédie,1h 30min,Olivier Doran,"Philippe Lefebvre, Olivier Doran","Kad Merad, Bruno Solo, Valérie Benguigui",,France,Wild Bunch Distribution,Box Office France,33439,"2,2","1,6",202457
Ne touchez pas la hache,28 mars 2007,"Drame, Romance",2h 17min,Jacques Rivette,,"Jeanne Balibar, Guillaume Depardieu, Bulle Ogier",,France,Les Films du Losange,Box Office France,30673,"4,0","2,4",129894
Ghost Tropic,1 janvier 2020,Drame,1h 25min,Bas Devos,Bas Devos,"Saadia Bentaïeb, Maaike Neuville, Nora Dari",,Belgique,JHR Films,Box Office France,544,"3,2","2,1",10108
Chien de Garde,14 novembre 2018,Drame,1h 27min,Sophie Dupuis,Sophie Dupuis,"Jean-Simon Leduc, Théodore Pellerin, Maude Guérin",,Canada,Fratel Films,Box Office France,870,"3,0","3,0",27156
God Help The Girl,3 décembre 2014,"Drame, Romance, Comédie musicale",1h 52min,Stuart Murdoch,Stuart Murdoch,"Emily Browning, Olly Alexander, Hannah Murray",,Grande-Bretagne,TF1 Vidéo,Box Office France,2946,"3,1","3,3",45567
Vuelven,24 juillet 2019,"Thriller, Fantastique",1h 24min,Issa Lopez,Issa Lopez,"Paola Lara, Juan Ramon Lopez, Ianis Guerrero",Interdit aux moins de 12 ans,Mexique,Karmafilms Distribution,Box Office France,66,"2,7","3,2",14111
Io e te,18 septembre 2013,Drame,1h 37min,Bernardo Bertolucci,"Bernardo Bertolucci, Niccolò Ammaniti","Jacopo Olmo Antinori, Tea Falco, Sonia Bergamasco",,Italie,KMBO,Box Office France,5746,"3,3","3,5",53198
Meltem,13 mars 2019,Drame,1h 27min,Basile Doganis,"Basile Doganis, Fadette Drouard","Daphne Patakia, Rabah Naït Oufella, Lamine Cissokho",,France,Jour2fête,Box Office France,1577,"2,9","2,8",17759
La Petite Chambre,16 février 2011,Comédie dramatique,1h 27min,Stéphanie Chuat,"Véronique Reymond, Stéphanie Chuat, Véronique Reymond","Michel Bouquet, Florence Loiret-Caille, Eric Caravaca",,Suisse,KMBO,Box Office France,14448,"3,0","3,2",52534
Clerks II,2 mai 2007,Comédie,1h 38min,Kevin Smith,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Rosario Dawson",,U.S.A.,TFM Distribution,Box Office US,10061132,"2,7","3,3",147157
Mater,2 juin 2021,Drame,1h 37min,Jure Pavlović,Jure Pavlović,"Daria Lorenci, Neva Rosic, Vera Zima",,Croatie,Damned Distribution,Box Office France,333,"3,5","3,2",36677
Torremolinos 73,15 juin 2005,Comédie dramatique,1h 31min,Pablo Berger,Pablo Berger,"Javier Cámara, Candela Peña, Juan Diego",,Espagne,Epicentre Films,Box Office France,5667,"3,8","3,6",19087
Son of Rambow,,Comédie,1h 36min,Garth Jennings,Garth Jennings,"Bill Milner, Will Poulter, Jules Sitruk",,France,1 nomination,Box Office US,242000,"3,3",--,55584
Kuma,6 juin 2012,Drame,1h 33min,Umut Dağ,"Umut Dağ, Petra Ladinigg","Begüm Akkaya, Vedat Erincin, Nihal Koldaş",,Autriche,KMBO,Box Office France,18407,"3,3","3,9",320253
Réfractaire,10 novembre 2010,Drame,1h 10min,Nicolas Steil,"Nicolas Steil, Jean-Louis Schlesser","Grégoire Leprince-Ringuet, Arthur Dupont, Guillaume Gouix",,Luxembourg,Albany Films distribution,Box Office France,620,"1,6","2,7",18761
Avant La Fin de L'été,12 juillet 2017,Comédie,1h 20min,Maryam Goormaghtigh,," Arash,  Hossein,  Ashkan",,France,Shellac,Box Office France,10206,"3,5","3,1",106282
Passe-passe,16 avril 2008,Comédie,1h 33min,Tonie Marshall,Tonie Marshall,"Nathalie Baye, Edouard Baer, Guy Marchand",,France,Warner Bros. France,Box Office France,195378,"2,8","1,7",262012
Un Chat Un Chat,25 mars 2009,Comédie dramatique,1h 45min,Sophie Fillières,Sophie Fillières,"Chiara Mastroianni, Agathe Bonitzer, Malik Zidi",,France,Les Films du Losange,Box Office France,17420,"2,9","2,3",63626
Waist Deep,,"Thriller, Policier",1h 37min,Vondie Curtis-Hall,"Vondie Curtis-Hall, Darin Scott","Tyrese Gibson, Tommy Abate,  The Game",,U.S.A.,,Box Office US,9404180,"2,9",--,15982
"Cornélius, le meunier hurlant",2 mai 2018,Comédie dramatique,1h 47min,Yann Le Quellec,Yann Le Quellec,"Bonaventure Gacon, Anaïs Demoustier, Gustave Kervern",,France,Ad Vitam,Box Office France,5513,"2,6","2,8",39538
Le Pharmacien de garde,15 janvier 2003,"Thriller, Policier",1h 30min,Jean Veber,Jean Veber,"Guillaume Depardieu, Vincent Perez, Pascal Légitimus",,France,Océan Films,Box Office France,140947,"2,6","1,9",7556
American Outlaws,,Western,1h 33min,Les Mayfield,"Roderick Taylor, John Rogers (II)","Colin Farrell, Gabriel Macht, Scott Caan",,U.S.A.,,Box Office US,4800000,"2,6",--,8203
