title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Kandahar,24 octobre 2001,Drame,1h 25min,Mohsen Makhmalbaf,Mohsen Makhmalbaf,"Niloufar Pazira, Hassan Tantai, Sadou Teymouri",,France,Mars Distribution,Box Office France,63746,"3,4","2,7",3288
The Real Thing,11 mai 2022,"Romance, Drame",1h 49min,Kôji Fukada,"Shintaro Mitani, Kôji Fukada","Win Morisaki, Kaho Tsuchimura, Shohei Uno",,Japon,Art House,Box Office France,11537,"3,7","3,4",220968
À bout portant,1 décembre 2010,Policier,1h 25min,Fred Cavayé,"Fred Cavayé, Guillaume Lemans","Gilles Lellouche, Roschdy Zem, Gérard Lanvin","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Gaumont Distribution,Box Office France,302664,"3,5","3,7",2078157
Monte Carlo,24 août 2011,"Comédie, Romance, Aventure",1h 49min,Thomas Bezucha,"Thomas Bezucha, Maria Maggenti","Selena Gomez, Katie Cassidy, Leighton Meester",à partir de 10 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,2151,"1,5","3,0",98482
Still Life,15 avril 2015,"Comédie, Drame",1h 27min,Uberto Pasolini,Uberto Pasolini,"Eddie Marsan, Joanne Froggatt, Karen Drury",,Grande-Bretagne,Condor Distribution,Box Office France,40291,"3,7","4,0",348310
Iron Man 2,28 avril 2010,"Action, Aventure, Science fiction",2h 04min,Jon Favreau,Justin Theroux,"Robert Downey Jr., Don Cheadle, Scarlett Johansson",,U.S.A.,Paramount Pictures France,Box Office France,1216314,"3,1","3,4",3174535
Minuscule - La vallée des fourmis perdues,29 janvier 2014,"Animation, Aventure, Famille",1h 28min,Thomas Szabo,Hélène Giraud,,à partir de 6 ans (children's film),France,Le Pacte,Box Office France,392852,"4,2","3,6",1086209
Legend Of The Guardians - The Owls of Ga'Hoole,27 octobre 2010,"Animation, Fantastique, Aventure",1h 39min,Zack Snyder,"John Orloff, Emil Stern","Jim Sturgess, Emily Barclay Ford, Abbie Cornish",à partir de 8 ans (children's film),U.S.A.,Warner Bros. France,Box Office France,324593,"3,1","3,7",654605
The Tall Man,5 septembre 2012,"Thriller, Epouvante-horreur",1h 45min,Pascal Laugier,Pascal Laugier,"Jessica Biel, Jodelle Ferland, Stephen McHattie",Interdit aux moins de 12 ans,U.S.A.,SND,Box Office France,208628,"2,6","2,9",2133409
Warm Bodies,20 mars 2013,"Comédie, Romance, Epouvante-horreur",1h 37min,Jonathan Levine,Jonathan Levine,"Nicholas Hoult, Teresa Palmer, Analeigh Tipton","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,165439,"3,3","3,6",476862
Ron's Gone Wrong,20 octobre 2021,"Animation, Famille, Aventure, Science fiction",1h 47min,Sarah Smith,"Jean-Philippe Vine, Octavio E. Rodriguez, Peter Baynham, Sarah Smith","Jack Dylan Grazer, Zach Galifianakis, Ed Helms",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,137238,"3,5","3,9",100000
